id,name,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200289,"Ilios, der Schwarze Sonnendrache",,,{CARD},,,,,,,,,,,,,
100200290,命运之盘上,,{CARD},,,,,,,,,,,,,,
100261001,Lustiges Finsteres Kaninchen,,{CARD},,,,,,,,,,,,,,
100261050,破械焰魔天 阎摩,,,{CARD},,,,,,,,,,,,,
100263009,Schnellbeschwörung,,,{CARD},,,,,,,,,,,,,
101305004,Gurifoh,,,,{CARD},,,,,,,,,,,,
101305018,Die Phantomritter des Verfallenen Schleiers,,,,{CARD},,,,,,,,,,,,
101305024,Magischer König des Sumpfes,,{CARD},,,,,,,,,,,,,,
101305036,Glitch Clutch Nullgainer,,,{CARD},,,,,,,,,,,,,
101305038,Melffy-Gott-Mami,{CARD},,,,,,,,,,,,,,,
101305048,Verlorenes Paradies der heiligen Ungeheuer,,,,{CARD},,,,,,,,,,,,
101305054,Geisterschwert Aiwass,,,{CARD},,,,,,,,,,,,,
101305055,Sackgasse Machtpatron-Reich - Viraia,,{CARD},,,,,,,,,,,,,,
101305073,Die Phantomritter des Empörungsschleiers,{CARD},,,,,,,,,,,,,,,
101305080,Schutzstein-Gartengestaltung,{CARD},,,,,,,,,,,,,,,
101306054,眠羊 替罪羊,,,{CARD},,,,,,,,,,,,,
