id,name,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200289,Ilios the Black Sun Dragon,,,{CARD},,,,,,,,,,,,,
100200290,命运之盘上,,{CARD},,,,,,,,,,,,,,
100261001,Funny Dark Rabbit,,{CARD},,,,,,,,,,,,,,
100261050,Unchained Enma Lord Yama,,,{CARD},,,,,,,,,,,,,
100263009,Quick Summon,,,{CARD},,,,,,,,,,,,,
101305004,Gurifoh,,,,{CARD},,,,,,,,,,,,
101305018,The Phantom Knights of Decayed Cloak,,,,{CARD},,,,,,,,,,,,
101305024,Magical King of the Swamp,,{CARD},,,,,,,,,,,,,,
101305036,Glitch Clutch Nullgainer,,,{CARD},,,,,,,,,,,,,
101305038,Melffy God Mommy,{CARD},,,,,,,,,,,,,,,
101305048,Fallen Paradise of the Sacred Beasts,,,,{CARD},,,,,,,,,,,,
101305054,Spirit Sword Aiwass,,,{CARD},,,,,,,,,,,,,
101305055,Dead-End Power Patron Realm - Viraia,,{CARD},,,,,,,,,,,,,,
101305073,The Phantom Knights of Umbrage Veil,{CARD},,,,,,,,,,,,,,,
101305080,Protective Stone Gardenscaping,{CARD},,,,,,,,,,,,,,,
101306054,Sleeping Scapegoats,,,{CARD},,,,,,,,,,,,,
