id,name,type,atk,def
100200290,Stage of Destiny,4,0,0
100200291,Capsule Monster Chess,524290,0,0
100200292,Thoroughbred Elf,33,1800,1500
100200293,Assault Lion,33,2600,2500
100200294,Power Connection,2,0,0
100260001,Clown Crew Hat,16777249,1900,800
100261001,Funny Dark Rabbit,33,1100,1500
100261002,Comic Cat,33,0,0
100261003,Evil Box,33,2300,2000
100261004,Dark-Eyes Illusionist Faceless Mage,33,0,0
100261005,Blue-Eyes Toon Ultimate Dragon,4194401,4500,3800
100261006,Toon World the Perfect World,524290,0,0
100261007,Mind Scan,131076,0,0
100261023,Witchcrafter Terracottan,33,0,2000
100261024,Witchcrafter Marka,33,2500,0
100261025,Witchcrafter Madame Rilliona,97,3800,2800
100261026,Witchcrafter Pupils,97,1800,2100
100261027,Witchcrafter Celebration,65538,0,0
100261028,Witchcrafter Walpurgis,524290,0,0
100261029,Witchcrafter Distortion,1048580,0,0
100261047,Unchained Ogre Shara,33,1500,2000
100261048,Unchained Ogre Shma,33,1500,2000
100261049,Unchained Malevolent Magistrate Kamura,33,2000,2500
100261050,Unchained Enma Lord Yama,67108897,3000,135
100261051,Unchained Soul Rage Abominator,67108897,2100,42
100261052,Reincarnation of the Unchained,131074,0,0
100261053,Unchained Syncretism,4,0,0
100263001,Dark Tyranno,33,2600,1800
100263002,Arcana Force XII - The Hangman,33,2200,2200
100263003,"Candelato, the Beast of Light",33,0,0
100263004,Plasma Warrior Eitom,33554465,3000,2500
100263005,White Knight Lord,33,2000,2000
100263006,Invincible Demise Lord,33,1300,2000
100263007,Elemental HERO Clay Guardian,97,0,2800
100263008,Doll Hammer,2,0,0
100263009,Quick Summon,65538,0,0
100263010,D - Burst,2,0,0
100264002,Archfiend's Origin,33,2500,1200
100264003,"Makourai, the Lightning Strike",65538,0,0
100265002,Witchcrafter Seed,33,1300,1500
100266001,Ancient Secrets,2,0,0
101306001,Swift Panther Warrior,33,2000,1600
101306002,Alligator's Sword Dragon Knight,33,1700,1500
101306003,Jinzo - Energy Shocker,33,2400,1500
101306004,"Fisherman, Legend of the Sea",33,1850,1600
101306009,Akasuna the Golden Deity Asutra,33,3000,300
101306010,Kuzuha the Bewitching Deity Asutra,33,2800,1500
101306011,Yoa the Plague Deity Asutra,33,2400,1500
101306012,Mikumari the Sealing Deity Asutra,33,2000,2500
101306013,Atlantis Dragon Lord - Daedalus,33,2600,1500
101306014,General of Atlantis,33,2100,1400
101306015,Monstrous Arms of Atlantis,33,1500,1200
101306016,Fiendish Vortex of Atlantis,33,1400,1800
101306021,Destiny HERO - Death Dogma,33554465,3400,2400
101306022,Destiny HERO - Doom Liege,33,600,800
101306023,Destiny HERO - Dreadnought Servant,33,400,700
101306024,Adamancipator Conductor,4129,1400,1100
101306025,Adamancipator Crystal - Tiamite,33,0,2200
101306036,Red-Eyes Black Dragon Exceed,97,3400,3000
101306037,Destiny HERO - Dreadnought,97,-2,2800
101306039,Asutraja Susanoo,8225,3300,0
101306040,Asutraya Mikumari no Mikoto,8225,3000,2500
101306041,Adamancipator Risen - Tiamite,8225,3300,2200
101306045,Swickelavee the Brilliantly Crowned Heavy Cavalry,8388641,2000,2000
101306046,Blue Ocean Dragon Lord - Neo-Daedalus Rage,67108897,2900,135
101306047,Levia-Dragoon - Daedalus,67108897,2600,7
101306049,Adamancipator Luminous,67108897,1800,10
101306052,Dark Time Wizard,65538,0,0
101306053,Graceful Skull Dice,65538,0,0
101306054,Sleeping Scapegoats,65538,0,0
101306057,Asutrashen Trichiliocosm,524290,0,0
101306058,"Atlantis, the Dragon City",524290,0,0
101306059,Atlantis Call,2,0,0
101306060,Atlantis Advent,131074,0,0
101306062,Clock Tower Prison City - Dark City,524290,0,0
101306063,Adamancipator Mates,2,0,0
101306068,Spatial Trunade,2,0,0
101306070,Foolish Graverobber,4,0,0
101306071,Reversal Box,131076,0,0
101306073,Asutra Insect Poison,4,0,0
101306074,Asutra Cursed Roar,4,0,0
101306075,Asutra Divine Domain,4,0,0
101306076,Daedalus Maelstrom,1048580,0,0
101306149,Glimmer Token,16401,0,0
101306154,Scapegoat Token,16401,0,0
101306254,Scapegoat Token,16401,0,0
101306354,Scapegoat Token,16401,0,0
101306454,Scapegoat Token,16401,0,0
