id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200292,Thoroughbred Elf,"During your Main Phase: You can send 1 Equip Spell from your Deck to the GY, then this card gains 500 ATK until the end of your opponent's turn. You can only use this effect of ""Thoroughbred Elf"" once per turn. When this card destroys an opponent's monster by battle: You can add to your hand, or Special Summon, 1 Level 4 or lower LIGHT Spellcaster monster from your Deck, except ""Thoroughbred Elf"".",Send to the GY,Deck manipulation,,,,,,,,,,,,,,
100200293,Assault Lion,"You can Tribute Summon this card face-up by Tributing 1 Beast-Warrior monster. If this card battles a monster, any battle damage it inflicts to your opponent is doubled. If a Beast-Warrior monster(s) is Normal or Special Summoned to your field while this card is in your GY: You can add this card to your hand, then immediately after this effect resolves, you can Tribute Summon this card face-up, and if you do, it gains 500 ATK, also banish it when it leaves the field. You can only use this effect of ""Assault Lion"" once per turn.",Tribute Summon using 1 Beast-Warrior monster,Add to hand,Tribute Summon?,,,,,,,,,,,,,
100200294,Power Connection,"Target any number of face-up monsters you control (if you target 2 or more monsters, they must have the same Type); they gain 500 ATK for each monster targeted, until the end of this turn. If you activated ""Armament Reincarnation"" this turn: You can add this card from your GY to your hand. You can only use each effect of ""Power Connection"" once per turn.",Activate,Recycle,,,,,,,,,,,,,,
100200295,Evil Lord - Zorc,"You can discard 2 cards, including this card; add 1 Level 8 Fiend monster from your Deck to your hand. When your Fiend monster is destroyed by battle: You can Special Summon this card from your GY. During your Main Phase: You can roll a six-sided die and apply this effect based on the result.
● 1, 2, 3, or 4: Take control of, or destroy, 1 monster your opponent controls.
● 5 or 6: Destroy 1 card you control.
You can only use each effect of ""Evil Lord - Zorc"" once per turn.",Search effect,Special Summon,Dice effect,Take control?,,,,,,,,,,,,
100260001,Clown Crew Cappello,"Pendulum Scale = 7
[ Pendulum Effect ]
During your Main Phase: You can send 1 ""Clown Crew"" card from your Deck to your GY, except a Pendulum Monster, and if you do, Special Summon this card, also you cannot activate the effects of monsters Special Summoned from the Deck or Extra Deck until the end of the next turn. You can only use this effect of ""Clown Crew Cappello"" once per turn.
----------------------------------------
[ Monster Effect ]
Monsters your opponent controls lose 1500 DEF while you control a Tribute Summoned monster. If this card is Tributed: You can activate 1 of these effects (but you can only use each of these effects of ""Clown Crew Cappello"" once per turn);
● Shuffle all Pendulum Monsters on the field and face-up in the Extra Decks into the Deck.
● Special Summon 1 non-Pendulum ""Clown Crew"" monster from your Deck or Extra Deck, ignoring its Summoning conditions.",Special Summon,Choose an effect,Return to the Deck,Special Summon,,,,,,,,,,,,
100262101,The Magical King of Dimension Zeta,"An observer from an empty world. They survey everything in the universe through every distortion in space and time. Take care. If you gaze long into your dreams, Zeta also gazes into you.",,,,,,,,,,,,,,,,
100263001,Dark Tyranno,"Can attack directly if all monsters your opponent controls are in Defense Position. You can only use each of the following effects of ""Dark Tyranno"" once per turn. During your Main Phase, if a Spell Card or effect was activated this turn: You can Special Summon this card from your hand. If this card is sent to the GY: You can add 1 Level 8 or higher Dinosaur monster from your Deck to your hand, then you can Special Summon it if your opponent controls a monster.",Special Summon,Add to hand,Special Summon?,,,,,,,,,,,,,
100263002,Arcana Force XII - The Hangman,"When a card or effect is activated (Quick Effect): You can reveal this card in your hand; Special Summon 1 ""Arcana Force"" monster from your hand in Defense Position. You can only use this effect of ""Arcana Force XII - The Hangman"" once per turn. If this card is Summoned: Toss a coin.
● Heads: Destroy 1 monster you control, and if you do, take damage equal to its original ATK.
● Tails: Destroy 1 monster your opponent controls, and if you do, inflict damage to your opponent equal to its original ATK.",Special Summon,Coin Toss effect,,,,,,,,,,,,,,
100263003,"Candelato, the Beast of Light","(This card is always treated as a ""Phantom Beast"" card.)
Gains 1000 ATK/DEF for each card in your hand. You can only use each of the following effects of ""Candelato, the Beast of Light"" once per turn. You can discard 2 other cards; Special Summon this card from your hand, then you can add 1 card from your Deck to your hand that has a coin tossing effect. When a card or effect is activated that includes an effect that adds a card(s) from the Deck to the hand (Quick Effect): You can negate that effect.",Special Summon,Negate,Add to hand?,,,,,,,,,,,,,
100263004,Plasma Warrior Eitom,"(This card is always treated as a ""Magna Warrior"" card.)
Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand or GY) by Tributing 1 Level 7 or higher monster. You can only Special Summon ""Plasma Warrior Eitom"" once per turn this way. Once per turn: You can send 1 ""Magnet Warrior"" or ""Magna Warrior"" monster from your Deck to the GY, except ""Plasma Warrior Eitom""; for the rest of this turn, this card's original ATK becomes 1500, also it can attack directly.",,Direct attack,,,,,,,,,,,,,,
