id,name,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200289,"Ilios, el Dragón del Sol Negro",,,{CARD},,,,,,,,,,,,,
100261001,Conejo Oscuro Divertido,,{CARD},,,,,,,,,,,,,,
100263009,Invocación Rápida,,,{CARD},,,,,,,,,,,,,
101305004,Gurifoh,,,,{CARD},,,,,,,,,,,,
101305018,Los Caballeros Fantasma de la Capa Decaída,,,,{CARD},,,,,,,,,,,,
101305024,Rey Mágico del Pantano,,{CARD},,,,,,,,,,,,,,
101305036,Glitch Clutch Anulaganador,,,{CARD},,,,,,,,,,,,,
101305038,Supermami Melffy,{CARD},,,,,,,,,,,,,,,
101305048,Paraíso Caído de las Bestias Sagradas,,,,{CARD},,,,,,,,,,,,
101305054,Espada Espiritual Aiwass,,,{CARD},,,,,,,,,,,,,
101305055,Reino sin Salida del Modelo de Poder – Viraia,,{CARD},,,,,,,,,,,,,,
101305073,Los Caballeros Fantasma del Velo de Sombra,{CARD},,,,,,,,,,,,,,,
101305080,Jardines de Piedra Sagrada,{CARD},,,,,,,,,,,,,,,
