id,name,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100266002,Fuerza de Espejo Mental,,self,,,,,,,,,,,,,,
100268201,Paladín Oscuro - Onda de Movimiento,,,self,,,,,,,,,,,,,
100269038,Dragón Anulación de Ojos Anómalos,,,self,,,,,,,,,,,,,
100269113,Tigre Escarlata Lunaluz,,,24094653,self,,,,,,,,,,,,
101305084,Espantapájaros de Trueno Impactante,,,self,,,,,,,,,,,,,
101305096,Apertura Angelechy a E4,,self,self,,,,,,,,,,,,,
101306008,Horror de las Sombras Milenario,,,self,,,,,,,,,,,,,
101306019,Ars Magna de la Purificación y la Corrupción,,,,self,,,,,,,,,,,,
101306054,Scapegoats Soñolientas,,,101306001,,,,,,,,,,,,,
101306079,Cuervo Vendedor de Cadáveres,,,,,,self,,,,,,,,,,
