id,name,type,atk,def
100200290,Escenario del Destino,4,0,0
100200291,Cápsula de Monstruos Ajedrez,524290,0,0
100200292,Elfo Pura Sangre,33,1800,1500
100200293,León de Asalto,33,2600,2500
100200294,Conexión de Poder,2,0,0
100260001,Sombrero de la Compañía de Payasos,16777249,1900,800
100261001,Conejo Oscuro Divertido,33,1100,1500
100261002,Gato Cómico,33,0,0
100261003,Caja Malvada,33,2300,2000
100261004,Ilusionista sin Rostro de Ojos Oscuros,33,0,0
100261005,Dragón Toon de Ojos Azules Definitivo,4194401,4500,3800
100261006,"Mundo Toon, el Mundo Perfecto",524290,0,0
100261007,Escáner Mental,131076,0,0
100261023,Terracottan Artibruja,33,0,2000
100261024,Marka Artibruja,33,2500,0
100261025,Artibruja Madame Rilliona,97,3800,2800
100261026,Artibruja Aprendices,97,1800,2100
100261027,Celebración Artibruja,65538,0,0
100261028,Walpurgis Artibruja,524290,0,0
100261029,Distorsión Artibruja,1048580,0,0
100261047,Ogra Desencadenada de Shara,33,1500,2000
100261048,Ogro Desencadenado de Shma,33,1500,2000
100261049,Magistrado Malévolo Desencadenado de Kamura,33,2000,2500
100261050,Enma Desencadenado Señor de Yama,67108897,3000,135
100261051,Alma Desencadenada de Rabia Abominadora,67108897,2100,42
100261052,Reencarnación de los Desencadenados,131074,0,0
100261053,Sincretismo Desencadenado,4,0,0
100263001,Tirano Oscuro,33,2600,1800
100263002,Fuerza Arcana XII - El Colgado,33,2200,2200
100263003,Bestia Fantasma Luninosa - Candelard,33,0,0
100263004,Guerrero de Plasma Eitöm,33554465,3000,2500
100263005,Señor de los Caballeros Blancos,33,2000,2000
100263006,Señor de la Perdición Invencible,33,1300,2000
100263007,HÉROE Elemental Clayguardman,97,0,2800
100263008,Martillo de Muñeca,2,0,0
100263009,Invocación Rápida,65538,0,0
100263010,D- Explosión,2,0,0
100264002,Origen del Archidemonio,33,2500,1200
100264003,Relámpago del Archidemonio,65538,0,0
100265002,Semilla Artibruja,33,1300,1500
100266001,Secretos Ancestrales,2,0,0
101306001,Guerrero Pantera Veloz,33,2000,1600
101306002,"Aligátor de la Espada, el Caballero Dragón",33,1700,1500
101306003,Jinzo - Impactador Psicoenergético,33,2400,1500
101306004,"El Pescador, la Leyenda del Gran Mar",33,1850,1600
101306009,"Akasuna, la Deidad Dorada de Asutra",33,3000,300
101306010,"Kuzuha, la Deidad Embrujadora de Asutra",33,2800,1500
101306011,"Yoa, la Deidad de la Plaga de Asutra",33,2400,1500
101306012,"Mikumari, la Deidad Selladora de Asutra",33,2000,2500
101306013,Señor Dragón de Atlantis - Dédalo,33,2600,1500
101306014,General de Atlantis,33,2100,1400
101306015,Brazos Monstruosos de Atlantis,33,1500,1200
101306016,Vórtice Maligno de Atlantis,33,1400,1800
101306021,HÉROE del Destino – Death Dogma,33554465,3400,2400
101306022,HÉROE del Destino – Doom Liege,33,600,800
101306023,HÉROE del Destino – Dreadnought Servant,33,400,700
101306024,Contactador Adamancipador,4129,1400,1100
101306025,Cristal Adamancipador - Tiamita,33,0,2200
101306036,Dragón Negro de Ojos Rojos Exceso,97,3400,3000
101306037,HÉROE del Destino – Dreadnought,97,-2,2800
101306039,Asutraja Susanoo,8225,3300,0
101306040,Asutraya Mikumari no Mikoto,8225,3000,2500
101306041,Ascendente Adamancipador - Tiamita,8225,3300,2200
101306045,"Swickelavee, la Caballería Pesada Brillantemente Coronada",8388641,2000,2000
101306046,Señor Dragón del Océano Azul - Némesis de Neo-Dédalo,67108897,2900,135
101306047,Levia-Dragoon - Dédalo,67108897,2600,7
101306049,Luminoso Adamancipador,67108897,1800,10
101306052,Mago del Tiempo Oscuro,65538,0,0
101306053,Dados Grácil y del Cráneo,65538,0,0
101306054,Scapegoats Soñolientas,65538,0,0
101306057,Triciliocosmo Asutrashen,524290,0,0
101306058,"Atlantis, la Ciudad Dragón",524290,0,0
101306059,Llamada de Atlantis,2,0,0
101306060,Aventura de Atlantis,131074,0,0
101306062,Ciudad Prisión de la Torre del Reloj – Ciudad Oscura,524290,0,0
101306063,Compañero Adamancipador,2,0,0
101306068,Trunada Espacial,2,0,0
101306070,Ladrón de Tumbas Insensato,4,0,0
101306071,Caja de Reversión,131076,0,0
101306073,Veneno Insecto de Asutra,4,0,0
101306074,Rugido Maldito de Asutra,4,0,0
101306075,Dominio Divino de Asutra,4,0,0
101306076,Maelstrom de Dédalo,1048580,0,0
101306149,Ficha Milagro ,16401,0,0
101306154,Ficha de Cordero de Sacrificio,16401,0,0
101306254,Ficha de Cordero de Sacrificio,16401,0,0
101306354,Ficha de Cordero de Sacrificio,16401,0,0
101306454,Ficha de Cordero de Sacrificio,16401,0,0
