id,ot,alias,setcode,type,atk,def,level,race,attribute,category
100268001,1,0,222,33,1000,1000,10,2,32,4456450
100268002,1,0,0,33554465,3500,3000,8,2048,1,270352
100268003,1,0,100,33,2100,1800,5,512,8,262144
100268004,1,0,221,97,4500,3800,12,8192,16,50364419
100268005,1,0,0,33,2600,2200,7,32,32,262658
100268006,1,0,272,161,0,0,1,33554432,32,2147753984
100268007,1,0,0,33554465,2200,2800,8,8,32,4460560
100268008,1,0,0,33,2800,1400,8,1,16,262664
100268010,1,0,232,33554465,3500,1000,8,2,16,2164261120
100268011,1,0,0,4,0,0,0,0,0,4194372
100268012,1,0,0,33,2100,500,4,1,32,2147491842
100268013,1,0,750,33554465,1200,2000,4,8192,1,2164261440
100268014,1,0,750,33554465,2100,1500,5,8192,16,842
100268015,1,0,0,131074,0,0,0,0,0,0
100268016,1,0,0,524290,0,0,0,0,0,2147491840
100268017,1,0,201,131076,0,0,0,0,0,262145
100268018,1,0,110,33,2600,2300,7,8,32,17039362
100268019,1,0,0,65538,0,0,0,0,0,2147491848
100268020,1,0,0,33,350,200,3,1,1,134520832
100268021,1,0,0,65538,0,0,0,0,0,516
100268022,1,0,69,33,2200,2500,6,8,32,270592
100268023,1,0,0,33,1800,1600,4,1,1,270849
100268024,1,0,0,65538,0,0,0,0,0,514
100268025,1,0,0,4,0,0,0,0,0,2147746824
100268201,1,0,110,97,2900,2400,8,2,32,2147491851
100270002,1,0,0,131074,0,0,0,0,0,67371520
100270003,1,0,0,4,0,0,0,0,0,2416181248
100271000,1,0,295371166,33,2500,2000,7,2,32,262155
100272001,1,0,227,33,800,800,4,32,1,268698112
100272002,1,0,227,97,0,0,6,8,4,270848
100272003,1,0,227,97,0,0,8,8,2,33817088
100272004,1,0,227,97,0,3000,10,8,16,33816611
100272006,1,0,227,131074,0,0,0,0,0,2483355656
101306082,2,0,0,33,1700,200,3,32768,1,262149
101306083,2,0,0,4,0,0,0,0,0,134480896
101306084,2,0,0,8388641,2500,1800,4,2,32,1107296256
101306085,2,0,0,4129,200,200,1,64,2,262176
101306086,2,0,0,67108897,1500,34,2,64,2,270336
101306087,2,0,0,97,2800,1800,8,1,32,0
101306088,2,0,0,33,0,0,4,256,2,512
101306089,2,0,207,4129,100,1000,4,8,32,537133056
101306090,2,0,482,8225,2000,2500,7,4,16,140
101306091,2,0,482,8225,3000,0,10,4,32,2147749888
101306092,2,0,482,2,0,0,0,0,0,262688
101306093,2,0,482,2,0,0,0,0,0,262688
101306094,2,0,482,2,0,0,0,0,0,262176
101306095,2,0,482,524290,0,0,0,0,0,262404
101306096,2,0,482,4,0,0,0,0,0,2147483660
101306281,2,0,0,33,2500,3200,9,64,2,17041664
101307001,1,0,751,33,2000,1400,5,8,32,262672
101307002,1,0,751,33,1600,1200,4,1,32,16
101307003,1,0,751,33,1800,1200,4,8,32,262200
101307004,1,0,751,33,800,1200,4,8,32,21233680
101307009,1,0,754,33,700,200,1,128,4,262656
101307010,1,0,754,4129,1700,0,4,33554432,16,262144
101307011,1,0,754,4129,1400,900,4,33554432,16,262144
101307012,1,0,27132658,4129,2500,2000,7,2,4,0
101307013,1,0,281,33,300,2100,4,16777216,4,263680
101307014,1,0,281,4129,1600,1000,3,16777216,4,262144
101307024,1,0,753,161,1000,2200,4,2048,8,263712
101307025,1,0,753,161,1900,1100,4,2048,2,263712
101307026,1,0,753,161,2000,1300,4,2048,16,263208
101307027,1,0,753,161,3000,1100,8,2048,4,1584
101307028,1,0,753,161,3300,1300,8,2048,32,2147491888
101307030,1,0,49283823,97,-2,-2,10,2097152,64,33562632
101307031,1,0,751,97,3000,2500,8,8,4,4194304
101307034,1,0,26936050,97,2500,2100,8,33554432,16,8208
101307037,1,0,754,8225,2600,1700,5,33554432,4,1040
101307038,1,0,754,8225,900,2600,5,33554432,4,262192
101307048,1,41463181,0,67108897,2300,133,3,16777216,4,2105376
101307051,1,0,751,65538,0,0,0,0,0,262168
101307052,1,0,751,131074,0,0,0,0,0,12583432
101307055,1,0,753,130,0,0,0,0,0,262192
101307056,1,0,753,524290,0,0,0,0,0,33554944
101307057,1,0,753,2,0,0,0,0,0,8200
101307058,1,0,753,2,0,0,0,0,0,1552
101307059,1,0,754,524290,0,0,0,0,0,16777728
101307062,1,1295111,281,524290,0,0,0,0,0,33554720
101307063,1,0,281,262146,0,0,0,0,0,270392
101307071,1,0,0,524290,0,0,0,0,0,83886080
101307072,1,0,751,4,0,0,0,0,0,8654848
101307073,1,0,751,131076,3000,3000,10,64,2,33817088
101307076,1,0,753,1048580,0,0,0,0,0,0
101307077,1,0,754,131076,0,0,0,0,0,2416181248
101307078,1,0,754,4,0,0,0,0,0,262160
