id,name,field,value
100200289,"Ilios, el Dragón del Sol Negro",name,"Ilios, el Dragón del Sol Negro"
100200289,"Ilios, el Dragón del Sol Negro",desc,"Puedes revelar 3 monstruos Dragón en tu Deck Extra con 3000 o más ATK y nombres diferentes; Invoca esta carta de Modo Especial desde tu mano. 
Si esta carta es mandada al Cementerio: puedes seleccionar 1 Monstruo de Fusión, Sincronía, Xyz o Enlace Dragón que controles; tu adversario no puede seleccionarlo con efectos de cartas este turno. 
Ningún jugador puede activar cartas o efectos en respuesta a la activación de este efecto. 
Sólo puedes usar cada uno de los efectos de ""Ilios, el Dragón del Sol Negro"" una vez por turno."
100200289,"Ilios, el Dragón del Sol Negro",str1,Invocar esta carta de Modo Especial desde tu mano
100200289,"Ilios, el Dragón del Sol Negro",str2,"Afectado por ""Ilios, el Dragón del Sol Negro"": no puede ser seleccionado con efectos de cartas de tu adversario este turno"
100200289,"Ilios, el Dragón del Sol Negro",str3,"El efecto de ""Ilios, el Dragón del Sol Negro"" se está aplicando."
100200290,Escenario del Destino,name,Escenario del Destino
100200290,Escenario del Destino,desc,"Puedes activar esta carta desde tu mano revelando 1 Monstruo Normal en tu mano. 
Invoca de Modo Especial hasta 5 Monstruos Normales desde tu mano y/o Cementerio, y además por el resto de este turno, no puedes Invocar de Modo Especial desde el Deck Extra. 
Sólo puedes activar 1 ""Escenario del Destino"" una vez por turno."
100200290,Escenario del Destino,str1,Invocar de Modo Especial hasta 5 Monstruos Normales desde tu mano y/o Cementerio
100200290,Escenario del Destino,str2,"Activar aplicando el efecto de ""Escenario del Destino"""
100260001,Sombrero de la Compañía de Payasos,name,Sombrero de la Compañía de Payasos
100260001,Sombrero de la Compañía de Payasos,desc,"←◊7 Escala 7◊→
【Efecto de Péndulo】
Durante tu Main Phase: puedes mandar al Cementerio 1 carta ""Compañía de Payasos"" desde tu Deck, excepto un Monstruo de Péndulo y, si lo haces, Invoca esta carta de Modo Especial, y además no puedes activar los efectos de monstruos Invocados de Modo Especial desde el Deck o Deck Extra hasta el final del próximo turno. 
Sólo puedes usar este efecto de ""Sombrero de la Compañía de Payasos"" una vez por turno.
━━━━━━━━━━━━━━━━━━━━━━━
【Efecto de Monstruo】
Los monstruos que controle tu adversario pierden 1500 DEF mientras controles un monstruo Invocado por Sacrificio. 
Si esta carta es Sacrificada: puedes activar 1 de estos efectos (pero sólo puedes usar cada uno de estos efectos de ""Sombrero de la Compañía de Payasos"" una vez por turno);
● Baraja todos los Monstruos de Péndulo en el Campo y en los Decks Extra boca arriba al Deck.
● Invoca de Modo Especial 1 monstruo ""Compañía de Payasos"" desde tu Deck o Deck Extra, excepto un Monstruo de Péndulo, ignorando sus condiciones de Invocación."
100260001,Sombrero de la Compañía de Payasos,str1,Invocar esta carta de Modo Especial
100260001,Sombrero de la Compañía de Payasos,str2,Elige un efecto
100260001,Sombrero de la Compañía de Payasos,str3,Devolver al Deck todos los Monstruos de Péndulo en el Campo y en los Decks Extra boca arriba
100260001,Sombrero de la Compañía de Payasos,str4,"Invocar de Modo Especial 1 monstruo ""Compañía de Payasos"" desde tu Deck o Deck Extra"
100261001,Conejo Oscuro Divertido,name,Conejo Oscuro Divertido
100261001,Conejo Oscuro Divertido,desc,"(Esta carta se trata como un monstruo Toon mientras ""Mundo Toon"" está en el Campo).	
Después de que esta carta sea Invocada de Modo Normal o Especial, durante tu Main Phase este turno, puedes Invocar de Modo Normal 1 monstruo que mencione ""Mundo Toon"" además de tu Invocación Normal/Colocada (sólo puedes ganar este efecto una vez por turno). 
Una vez por turno: puedes añadir a tu mano o Colocar boca arriba en tu Campo, 1 Mágica de Campo ""Toon"" o Mágica Continua ""Toon"" desde tu Deck."
100261001,Conejo Oscuro Divertido,str2,"Invocar de Modo Normal 1 monstruo que mencione ""Mundo Toon"" además de tu Invocación Normal/Colocada (Conejo Oscuro Divertido)"
100261001,Conejo Oscuro Divertido,str3,"Añadir a tu mano 1 Mágica de Campo ""Toon"" o Mágica Continua ""Toon"" desde tu Deck"
100261001,Conejo Oscuro Divertido,str4,"Colocar 1 Mágica de Campo ""Toon"" o Mágica Continua ""Toon"" desde tu Deck"
100261002,Gato Cómico,name,Gato Cómico
100261002,Gato Cómico,desc,"(Esta carta se trata como un monstruo Toon mientras ""Mundo Toon"" está en el Campo).	
(Efecto Rápido): Durante la Main Phase: puedes Sacrificar 1 monstruo (si controlas ""Mundo Toon"", puedes Sacrificar 1 monstruo del adversario, aunque no lo controles), y si lo haces, Invoca de Modo Especial 1 monstruo desde tu mano o Deck que mencione ""Mundo Toon"", ignorando sus condiciones de Invocación. 
Sólo puedes usar este efecto de ""Gato Cómico"" una vez por turno."
