id,name,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200289,Ilios le Dragon du Soleil Noir,,,{CARD},,,,,,,,,,,,,
100261001,Lapin des Ténèbres Malin,,self,,,,,,,,,,,,,,
100261050,破械焰魔天 阎摩,,,{CARD},,,,,,,,,,,,,
100263009,Invocation Éclair,,,{CARD},,,,,,,,,,,,,
101305004,Gurifoh,,,,self,,,,,,,,,,,,
101305018,Les Chevaliers Fantômes de la Cape Délabrée,,,,self,,,,,,,,,,,,
101305024,Roi Magique des Marais,,{CARD},{CARD},,,,,,,,,,,,,
101305036,Récupérateur Null de Couplage Anomalique,,,{CARD},,,,,,,,,,,,,
101305038,Mommy Marraine Melffy,{CARD},,,,,,,,,,,,,,,
101305048,Paradis Perdu des Bêtes Sacrées,,,,self,,,,,,,,,,,,
101305054,Aiwass l'Épée Spirituelle,,,{CARD},,,,,,,,,,,,,
101305055,Royaume du Mécène du Pouvoir de l'Impasse - Viraia,,{CARD},,,,,,,,,,,,,,
101305073,Les Chevaliers Fantômes du Voile d'Ombrage,self,,,,,,,,,,,,,,,
101305080,Aménagement Paysager de la Pierre Protectrice,{CARD},,,,,,,,,,,,,,,
