id,name,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200289,Ilios il Drago del Sole Nero,,,{CARD},,,,,,,,,,,,,
100200290,命运之盘上,,{CARD},,,,,,,,,,,,,,
100261001,Coniglio Oscuro Divertente,,{CARD},,,,,,,,,,,,,,
100261050,破械焰魔天 阎摩,,,{CARD},,,,,,,,,,,,,
100263009,Evocazione Rapida,,,{CARD},,,,,,,,,,,,,
101305004,Gurifoh,,,,{CARD},,,,,,,,,,,,
101305018,I Cavalieri Fantasma del Mantello Decomposto,,,,{CARD},,,,,,,,,,,,
101305024,Re Magico delle Paludi,,{CARD},,,,,,,,,,,,,,
101305036,Nullgainer Morsa Glitch,,,{CARD},,,,,,,,,,,,,
101305038,Mellfy Mammina Divina,{CARD},,,,,,,,,,,,,,,
101305048,Paradiso Perduto della Bestia Sacra,,,,{CARD},,,,,,,,,,,,
101305054,Spada Spirituale Aiwass,,,{CARD},,,,,,,,,,,,,
101305055,Dominio del Patrono Potente Vicolo Cieco - Viraia,,{CARD},,,,,,,,,,,,,,
101305073,I Cavalieri Fantasma del Velo dell'Oltraggio,{CARD},,,,,,,,,,,,,,,
101305080,Progettazione del Giardino di Pietra Protettivo,{CARD},,,,,,,,,,,,,,,
101306054,眠羊 替罪羊,,,{CARD},,,,,,,,,,,,,
