id,name,type,atk,def
100200290,Palcoscenico del Destino,4,0,0
100200291,Scacchi dei Mostri Capsula,524290,0,0
100200292,Elfo Purosangue,33,1800,1500
100200293,Leone d'Assalto,33,2600,2500
100200294,Connessione Potente,2,0,0
100260001,Compagnia di Clown Hat,16777249,1900,800
100261001,Coniglio Oscuro Divertente,33,1100,1500
100261002,Gatto dei Fumetti,33,0,0
100261003,Scatola Malvagia,33,2300,2000
100261004,Mago Illusionista Senza Volto Occhi Oscuri,33,0,0
100261005,Drago Toon Occhi Blu Finale,4194401,4500,3800
100261006,Mondo Toon il Mondo Perfetto,524290,0,0
100261007,Scansione Mentale,131076,0,0
100261023,Stregartigiana Terracottan,33,0,2000
100261024,Stregartigiana Marka,33,2500,0
100261025,Stregartigiana Madame Rilliona,97,3800,2800
100261026,Allieve Stregartigiana,97,1800,2100
100261027,Celebrazione Stregartigiana,65538,0,0
100261028,Walpurgis Stregartigiana,524290,0,0
100261029,Distorsione Stregartigiana,1048580,0,0
100261047,Orco Svincolato Shara,33,1500,2000
100261048,Orco Svincolato Shma,33,1500,2000
100261049,Kamura Magistrato Malevolo Svincolato,33,2000,2500
100261050,Signore Enma Yama Svincolato,67108897,3000,135
100261051,Anima Svincolata Abominatore dell'Ira,67108897,2100,42
100261052,Reincarnazione degli Svincolati,131074,0,0
100261053,Sincretismo Svincolato,4,0,0
100263001,Tiranno Oscuro,33,2600,1800
100263002,Energia Arcana XII - L'Appeso,33,2200,2200
100263003,"Candelato, la Bestia della Luce",33,0,0
100263004,Guerriero Plasma Eitom,33554465,3000,2500
100263005,Signore Cavaliere Bianco,33,2000,2000
100263006,Signore Invincibile della Rovina,33,1300,2000
100263007,EROE Elementale Guardiano d'Argilla,97,0,2800
100263008,Martello della Bambola,2,0,0
100263009,Evocazione Rapida,65538,0,0
100263010,D - Esplosione,2,0,0
100264002,Origine dell'Arcidemone,33,2500,1200
100264003,Makourai il Fulmine Devastante,65538,0,0
100265002,Stregartigiana Seed,33,1300,1500
100266001,Segreti Antichi,2,0,0
100266002,圣心防护罩 -心灵之力-,4,0,0
101306001,Guerriero Pantera Rapido,33,2000,1600
101306002,Cavaliere Drago Spada dell'Alligatore,33,1700,1500
101306003,Jinzo - Shocker Energetico,33,2400,1500
101306004,Pescatore Leggenda dei Mari,33,1850,1600
101306009,Akasuna Divinità Dorata Asutra,33,3000,300
101306010,Kuzuha Divinità Ammaliatrice Asutra,33,2800,1500
101306011,Yoa Divinità della Pestilenza Asutra,33,2400,1500
101306012,Mikumari Divinità Sigillante Asutra,33,2000,2500
101306013,Signore Drago di Atlantide - Dedalo,33,2600,1500
101306014,Generale di Atlantide,33,2100,1400
101306015,Braccia Mostruose di Atlantide,33,1500,1200
101306016,Vortice Demoniaco di Atlantide,33,1400,1800
101306021,Dogma Fatale - EROE del Destino,33554465,3400,2400
101306022,Signore della Rovina - EROE del Destino,33,600,800
101306023,Servitore della Corazzata del Terrore - EROE del Destino,33,400,700
101306024,Irremovibilatrice Conduttrice,4129,1400,1100
101306025,Irremovibilatore Cristallo - Tiamite,33,0,2200
101306036,Drago Nero Occhi Rossi Exceed,97,3400,3000
101306037,Corazzata del Terrore - EROE del Destino,97,-2,2800
101306039,Asutraja Susanoo,8225,3300,0
101306040,Asutraya Mikumari no Mikoto,8225,3000,2500
101306041,Irremovibilatore Risorto - Tiamite,8225,3300,2200
101306045,Swickelavee Cavalleria Pesante dalla Splendente Corona,8388641,2000,2000
101306046,Signore Drago dell'Oceano Blu - Neo-Dedalo Furia,67108897,2900,135
101306047,Levia-Dragone - Dedalo,67108897,2600,7
101306049,Irremovibilatrice Luminosa,67108897,1800,10
101306052,Stregone del Tempo Oscuro,65538,0,0
101306053,Dadi del Teschio Graziosi,65538,0,0
101306054,Capro Espiatorio Dormiente,65538,0,0
101306057,Trichiliocosmo Asutrashen,524290,0,0
101306058,"Atlantide, la Città dei Draghi",524290,0,0
101306059,Richiamo di Atlantide,2,0,0
101306060,Avvento di Atlantide,131074,0,0
101306062,Città Oscura Prigione della Torre dell'Orologio,524290,0,0
101306063,Compagni Irremovibilatore,2,0,0
101306068,Ritorno Spaziale,2,0,0
101306070,Predatore delle Tombe Sciocco,4,0,0
101306071,Scatola dell'Inversione,131076,0,0
101306073,Veleno d'Insetto Asutra,4,0,0
101306074,Ruggito Maledetto Asutra,4,0,0
101306075,Dominio Divino Asutra,4,0,0
101306076,Maelstrom di Dedalo,1048580,0,0
101306149,Segna-Barlume,16401,0,0
101306154,Segna-Capro Espiatorio,16401,0,0
101306254,Segna-Capro Espiatorio,16401,0,0
101306354,Segna-Capro Espiatorio,16401,0,0
101306454,Segna-Capro Espiatorio,16401,0,0
