id,ot,alias,setcode,type,atk,def,level,race,attribute,category
100200292,1,0,0,33,1800,1500,4,2,16,270856
100200293,1,0,0,33,2600,2500,7,32768,1,8208
100200294,1,0,0,2,0,0,0,0,0,9232
100200297,1,0,110,33,0,700,3,2,16,2147491840
100267001,1,0,746,33,0,1000,4,16,16,512
100267002,1,0,746,33,0,1500,4,16,16,1568
100267003,1,0,6030058,161,5000,2500,12,16,32,33819136
100267004,1,0,746,161,3200,2500,8,16,32,262296
100267005,1,0,746,161,2800,1500,6,16,32,270384
100267006,1,0,746,524290,0,0,0,0,0,262400
100267007,1,0,746,2,0,0,0,0,0,262656
100267008,1,0,746,2,0,0,0,0,0,262400
100267009,1,0,746,4,0,0,0,0,0,17039364
100267010,1,0,746,4,0,0,0,0,0,2147483656
100267011,1,0,746,1048580,0,0,0,0,0,2147484673
100267016,1,0,749,33,2100,2100,7,2,16,262432
100267017,1,0,749,33,1400,1400,7,16,32,1074012416
100267018,1,0,749,33,700,2100,7,16384,1,1074004224
100267019,1,0,749,33,2800,1400,7,1,8,262432
100267020,1,0,749,33,2800,700,7,8192,4,262432
100267021,1,0,749,33,700,1400,7,64,2,1073742080
100267022,1,0,749,8388641,2100,2100,7,2,16,33554688
100267023,1,0,749,8388641,1400,2800,7,32,16,1073807392
100267024,1,0,749,2,0,0,0,0,0,256
100267025,1,0,749,131074,0,0,0,0,0,16777504
100267026,1,0,749,4,0,0,0,0,0,1074004256
100267031,1,0,748,33,100,1000,1,1048576,32,263172
100267032,1,0,748,33,1200,200,2,1048576,16,263172
100267033,1,0,748,33,300,2000,3,1048576,2,262148
100267034,1,0,748,33,1700,400,4,1048576,4,262148
100267035,1,0,748,33,1000,2500,5,1048576,16,2147746820
100267036,1,0,748,33,2400,1200,6,1048576,1,50593796
100267037,1,0,748,33,2100,2800,7,1048576,8,263460
100267038,1,0,748,33,3000,2400,8,1048576,32,16778247
100267039,1,0,748,524290,0,0,0,0,0,1024
100267040,1,0,748,131074,0,0,0,0,0,262148
100267041,1,0,748,131076,0,0,0,0,0,271360
100268002,1,0,0,33554465,3500,3000,8,2048,1,270352
100268004,1,0,221,97,4500,3800,12,8192,16,50364419
100268005,1,0,0,33,2600,2200,7,32,32,262658
100268006,1,0,272,161,0,0,1,33554432,32,2147753984
100268008,1,0,0,33,2800,1400,8,1,16,262664
100268011,1,0,0,4,0,0,0,0,0,4194372
100268012,1,0,0,33,2100,500,4,1,32,2147491842
100268013,1,0,750,33554465,1200,2000,4,8192,1,2164261440
100268014,1,0,750,33554465,2100,1500,5,8192,16,842
100268015,1,0,0,131074,0,0,0,0,0,0
100268016,1,0,0,524290,0,0,0,0,0,2147491840
100268017,1,0,201,131076,0,0,0,0,0,262145
100268018,1,0,110,33,2600,2300,7,8,32,17039362
100268019,1,0,0,65538,0,0,0,0,0,2147491848
100268020,1,0,0,33,350,200,3,1,1,134520832
100268021,1,0,0,65538,0,0,0,0,0,516
100268022,1,0,69,33,2200,2500,6,8,32,270592
100268023,1,0,0,33,1800,1600,4,1,1,270849
100268024,1,0,0,65538,0,0,0,0,0,514
100268025,1,0,0,4,0,0,0,0,0,2147746824
100268201,1,0,110,97,2900,2400,8,2,32,2147491851
100270002,1,0,0,131074,0,0,0,0,0,67371520
100270003,1,0,0,4,0,0,0,0,0,2416181248
101306281,2,0,0,33,2500,3200,9,64,2,17041664
101307001,1,0,751,33,2000,1400,5,8,32,262672
101307002,1,0,751,33,1600,1200,4,1,32,16
101307003,1,0,751,33,1800,1200,4,8,32,262200
101307004,1,0,751,33,800,1200,4,8,32,21233680
101307013,1,0,281,33,300,2100,4,16777216,4,263680
101307014,1,0,281,4129,1600,1000,3,16777216,4,262144
101307024,1,0,753,161,1000,2200,4,2048,8,263712
101307025,1,0,753,161,1900,1100,4,2048,2,263712
101307026,1,0,753,161,2000,1300,4,2048,16,263208
101307027,1,0,753,161,3000,1100,8,2048,4,1584
101307028,1,0,753,161,3300,1300,8,2048,32,2147491888
101307030,1,0,49283823,97,-2,-2,10,2097152,64,33562632
101307031,1,0,751,97,3000,2500,8,8,4,4194304
101307048,1,41463181,281,67108897,2300,133,3,16777216,4,2105376
101307051,1,0,751,65538,0,0,0,0,0,262168
101307052,1,0,751,131074,0,0,0,0,0,12583432
101307055,1,0,753,130,0,0,0,0,0,262192
101307056,1,0,753,524290,0,0,0,0,0,33554944
101307057,1,0,753,2,0,0,0,0,0,8200
101307058,1,0,753,2,0,0,0,0,0,1552
101307062,1,1295111,281,524290,0,0,0,0,0,33554720
101307063,1,0,281,262146,0,0,0,0,0,270392
101307072,1,0,751,4,0,0,0,0,0,8654848
101307073,1,0,751,131076,3000,3000,10,64,2,33817088
101307076,1,0,753,1048580,0,0,0,0,0,0
