id,name,field,value
100200292,Elfo Purosangue,name,Elfo Purosangue
100200292,Elfo Purosangue,desc,"Durante la tua Main Phase: Puoi mandare 1 Magia Equipaggiamento dal tuo Deck al Cimitero, poi questa carta guadagna 500 ATK fino alla fine del turno del tuo avversario. Puoi utilizzare questo effetto di ""Elfo Purosangue"" una sola volta per turno.
Quando questa carta distrugge un mostro dell'avversario in battaglia: Puoi aggiungere alla tua mano, oppure Evocare Specialmente, 1 mostro Incantatore LUCE di Livello 4 o inferiore dal tuo Deck, eccetto ""Elfo Purosangue""."
100200292,Elfo Purosangue,str1,Mandare al Cimitero
100200292,Elfo Purosangue,str2,Manipolazione del Deck
100200293,Leone d'Assalto,name,Leone d'Assalto
100200293,Leone d'Assalto,desc,"Puoi Evocare tramite Tributo questa carta scoperta offrendo come Tributo 1 mostro Bestia-Guerriero.
Se questa carta combatte contro un mostro, qualsiasi danno da combattimento che infligge al tuo avversario viene raddoppiato.
Se uno o più mostri Bestia-Guerriero vengono Evocati Normalmente o Specialmente sul tuo Terreno mentre questa carta è nel tuo Cimitero: Puoi aggiungere questa carta alla tua mano, poi immediatamente dopo che questo effetto si è risolto, puoi Evocare tramite Tributo questa carta scoperta, e se lo fai, guadagna 500 ATK, inoltre bandiscila quando lascia il Terreno.
Puoi utilizzare questo effetto di ""Leone d'Assalto"" una sola volta per turno."
100200293,Leone d'Assalto,str1,Evocazione tramite Tributo usando 1 mostro Guerriero-Bestia
100200293,Leone d'Assalto,str2,Aggiungere alla mano
100200293,Leone d'Assalto,str3,Evocazione tramite Tributo?
100200294,Connessione Potente,name,Connessione Potente
100200294,Connessione Potente,desc,"Scegli come bersaglio un qualsiasi numero di mostri scoperti che controlli (se scegli come bersaglio 2 o più mostri, devono avere lo stesso Tipo); essi guadagnano 500 ATK per ogni mostro scelto come bersaglio, fino alla fine di questo turno.
Se hai attivato ""Reincarnazione dell'Armamento"" in questo turno: Puoi aggiungere questa carta dal tuo Cimitero alla tua mano.
Puoi utilizzare ciascun effetto di ""Connessione Potente"" una sola volta per turno."
100200294,Connessione Potente,str1,Attiva
100200294,Connessione Potente,str2,Recuperare
100266001,Segreti Antichi,name,Segreti Antichi
100266001,Segreti Antichi,desc,"Evoca Specialmente 1 Mostro Normale dalla tua mano, Deck o Cimitero in Posizione di Difesa (se lo Evochi Specialmente dal Deck, deve essere di Livello 4 o inferiore), oppure, se controlli una Carta Mostro Normale, puoi invece applicare 1 di questi effetti.
● Distruggi tutti i mostri controllati dal tuo avversario.
● Distruggi tutte le Magie/Trappole controllate dal tuo avversario.
● Pesca 2 carte.
● Evoca Specialmente 1 mostro da uno dei Cimiteri sul tuo Terreno.
Puoi attivare solo 1 ""Segreti Antichi"" per turno."
100266001,Segreti Antichi,str1,Attiva
100266001,Segreti Antichi,str2,Applicare un altro effetto?
100266001,Segreti Antichi,str3,Distruggi 1 mostro
100266001,Segreti Antichi,str4,Distruggi Carte Magia/Trappola
100266001,Segreti Antichi,str5,Pescare
100266001,Segreti Antichi,str6,Evocazione Speciale
100266002,Forza Riflessa Mentale,name,Forza Riflessa Mentale
100266002,Forza Riflessa Mentale,desc,"Se il tuo avversario controlla 5 o più carte scoperte, l'attivazione e l'effetto di questa carta non possono essere annullati, inoltre puoi attivare questa carta nel turno in cui è stata Posizionata.
In uno qualsiasi dei seguenti momenti: annulla gli effetti di quante più carte scoperte controllate dal tuo avversario possibile e, se lo fai, distruggile, inoltre i tuoi mostri non possono attaccare direttamente fino alla fine del prossimo turno dopo la risoluzione di questa carta.
● Quando il mostro controllato dal tuo avversario con l'ATK più alto (anche in caso di parità) dichiara un attacco.
● Quando il tuo avversario attiva un effetto di un mostro che distruggerebbe una o più carte sul Terreno.
● Quando il tuo avversario attiva un effetto di un mostro nella mano o sul Terreno durante il tuo turno."
100266002,Forza Riflessa Mentale,str1,Attiva
100266002,Forza Riflessa Mentale,str2,"Attivare applicando l'effetto di ""Forza Riflessa Mentale""."
100266003,Emissari dall'Oscurità,name,Emissari dall'Oscurità
