id,name,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200289,黒陽竜イリオス,,,self,,,,,,,,,,,,,
100261001,ファニー・ダーク・ラビット,,self,,,,,,,,,,,,,,
100261050,破械焔魔天ヤマ,,,self,,,,,,,,,,,,,
100263009,速攻召喚,,,self,,,,,,,,,,,,,
101305004,グリフォー,,,,self,,,,,,,,,,,,
101305018,幻影騎士団ディケイクローク,,,,self,,,,,,,,,,,,
101305024,沼地の魔道王,,self,self,,,,,,,,,,,,,
101305036,無現壊収 ヌルゲイナー,,,self,,,,,,,,,,,,,
101305038,メルフィーゴッド・マミィ,76833149,,,,,,,,,,,,,,,
101305048,三幻魔の失楽園,,,,self,,,,,,,,,,,,
101305054,神霊剣アイワス,,,{CARD},,,,,,,,,,,,,
101305055,絶境なる獄神域－ヴィライア,,self,,,,,,,,,,,,,,
101305073,幻影騎士団アンブレイジベイル,self,,,,,,,,,,,,,,,
101305080,護石の作庭,self,,,,,,,,,,,,,,,
