id,name,type,atk,def
100200292,サラブレッド・エルフ,33,1800,1500
100200293,アサルト・リオン,33,2600,2500
100200294,パワーコネクション,2,0,0
100260001,道化の一座 ハット,16777249,1900,800
100262101,泽塔次元的魔术王,4113,1600,1600
100263001,ダークティラノ,33,2600,1800
100263002,アルカナフォースＸＩＩ－ＴＨＥ ＨＡＮＧＥＤ ＭＡＮ,33,2200,2200
100263003,光幻獣 カンデラード,33,0,0
100263004,プラズマ戦士エイトム,33554465,3000,2500
100263005,白騎士団のロード,33,2000,2000
100263006,不死のデスロード,33,1300,2000
100263007,Ｅ・ＨＥＲＯ クレイガードマン,97,0,2800
100263008,ドールハンマー,2,0,0
100263009,速攻召喚,65538,0,0
100263010,Ｄ－バースト,2,0,0
100265002,魔女术工匠·种子女巫,33,1300,1500
100266001,古の秘儀,2,0,0
100266002,聖なる心のバリア －マインドフォース－,4,0,0
100266003,冥府よりの使者,33,2700,2500
101305081,Ｗｉｔｎｅｓｓ ｏｆ ｔｈｅ Ａｎｃｉｅｎｔ,4129,0,3000
101305082,Ｄｉｓｔｒｕｓｔ Ｐａｒａｎｏｉａ,4,4000,4000
101305083,Ｙｏｍａｇｎａ ｔｈｅ Ｆｉｒｅ Ｐｈａｎｔｏｍ,33554465,3300,0
101305084,Ｔｈｕｎｄｅｒｃｒａｓｈ Ｓｎａｒｅｃｒｏｗ,33,1600,2800
101305085,Ｍｉｘｏｕｓｉａ ｔｈｅ Ｃｏｎｆｏｕｎｄｅｒ,97,2700,1500
101305086,Ｓｈａｍａｎｉｔｅ Ｓｈａｍａｎｋｎｉｇｈｔ,8388641,1700,2400
101305087,Ｃｅｒｙｎｅｍｅｓｉａ， Ｍｙｓｔｉｃａｌ Ｂｅａｓｔ ｏｆ ｔｈｅ Ｆｏｒｅｓｔ,33,0,1600
101305088,Ｉｍｐｏｓｔｅｒ Ｓｈｉｆｔ,131074,0,0
101305089,Ｍｏｒｔｉｌｕｘ Ｈｅｒｕｖｕｒ,8388641,3000,2100
101305090,Ａｎｇｅｌｅｃｈｙ Ｓｈａｔｒａｎｇａ,8225,3000,0
101305091,Ａｎｇｅｌｅｃｈｙ Ｂａｓｔｉｏｎ,8225,3000,2500
101305092,Ａｎｇｅｌｅｃｈｙ Ｄｅｓｔｒｉｅｒ,8225,2500,2000
101305093,Ａｎｇｅｌｅｃｈｙ Ｅｎｌｉｓｔｅｄ,12321,1500,1500
101305094,Ａｎｇｅｌｅｃｈｙ Ｐｒｏｂｌｅｍ,524290,0,0
101305095,Ａｎｇｅｌｅｃｈｙ Ｄｉｓｔｕｒｂａｎｃｅ,4,0,0
101305096,Ａｎｇｅｌｅｃｈｙ Ｏｐｅｎｉｎｇ ｔｏ ｅ４,4,0,0
101305181,Ａｒｃ Ｔｏｋｅｎ,16401,0,0
101305188,Ｉｍｐｏｓｔｅｒ Ｔｏｋｅｎ,16401,800,800
101306001,疾風の豹戦士パンサーウォリアー,33,2000,1600
101306002,ワイバーンの竜騎士,33,1700,1500
