id,ot,alias,setcode,type,atk,def,level,race,attribute,category
100200292,1,0,0,33,1800,1500,4,2,16,270856
100200293,1,0,0,33,2600,2500,7,32768,1,8208
100200294,1,0,0,2,0,0,0,0,0,9232
100266001,1,0,0,2,0,0,0,0,0,262403
100266002,1,0,0,4,0,0,0,0,0,2147483651
100266003,1,0,0,33,2700,2500,7,8,32,8651778
100266004,1,0,273,33554465,2800,1000,7,8192,32,262147
100266005,1,0,47,8225,3000,1000,9,8192,2,20
100266006,1,0,72,8388641,2100,1000,4,64,2,1090519552
100266007,1,0,0,65538,0,0,0,0,0,2147483648
100266008,1,0,19071430,4129,0,2000,4,2,16,16777728
100267001,1,0,746,33,0,1000,4,16,16,512
100267002,1,0,746,33,0,1500,4,16,16,1568
100267003,1,0,6030058,161,5000,2500,12,16,32,33819136
100267004,1,0,746,161,3200,2500,8,16,32,262296
100267005,1,0,746,161,2800,1500,6,16,32,270384
100267006,1,0,746,524290,0,0,0,0,0,262400
100267007,1,0,746,2,0,0,0,0,0,262656
100267009,1,0,746,4,0,0,0,0,0,17039364
100267010,1,0,746,4,0,0,0,0,0,2147483656
100267011,1,0,746,1048580,0,0,0,0,0,2147484673
100268201,1,0,110,97,2900,2400,8,2,32,2147491851
100269038,2,0,153,67108897,2500,7,3,8192,16,2147746051
100269113,2,0,223,33,1900,1500,5,32768,32,263680
100269215,2,0,8214,4129,200,1600,4,32,8,262666
