id,name,field,value
100200292,サラブレッド・エルフ,name,サラブレッド・エルフ
100200292,サラブレッド・エルフ,desc,"このカード名の①の効果は１ターンに１度しか使用できない。
①：自分メインフェイズに発動できる。デッキから装備魔法カード１枚を墓地へ送る。その後、このカードの攻撃力は相手ターン終了時まで５００アップする。
②：このカードが戦闘で相手モンスターを破壊した時に発動できる。「サラブレッド・エルフ」を除く、レベル４以下の魔法使い族・光属性モンスター１体をデッキから選び、手札に加えるか特殊召喚する。"
100200292,サラブレッド・エルフ,str1,墓地へ送る
100200292,サラブレッド・エルフ,str2,デッキ操作
100200293,アサルト・リオン,name,アサルト・リオン
100200293,アサルト・リオン,desc,"このカードは獣戦士族モンスター１体をリリースして表側表示でＡ召喚できる。
このカード名の②の効果は１ターンに１度しか使用できない。
①：このカードがモンスターとの戦闘で相手に与える戦闘ダメージは倍になる。
②：このカードが墓地に存在する状態で、自分フィールドに獣戦士族モンスターが召喚・特殊召喚された場合に発動できる。このカードを手札に加える。その後、このカードのＡ召喚を表側表示で行う事ができる。この効果でＡ召喚したこのカードは、攻撃力が５００アップし、フィールドから離れた場合に除外される。"
100200293,アサルト・リオン,str1,獣戦士族モンスター１体をリリースしてアドバンス召喚
100200293,アサルト・リオン,str2,手札に加える
100200293,アサルト・リオン,str3,アドバンス召喚しますか？
100200294,パワーコネクション,name,パワーコネクション
100200294,パワーコネクション,desc,"このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。
①：自分フィールドの表側表示モンスターを任意の数だけ対象として発動できる（２体以上を対象とする場合は同じ種族でなければならない）。対象のモンスターの攻撃力はターン終了時まで、対象のモンスターの数×５００アップする。
②：自分が「武装転生」を発動したターンに発動できる。墓地のこのカードを手札に加える。"
100200294,パワーコネクション,str1,発動
100200294,パワーコネクション,str2,回収
100200297,装甲魔導士パズー,name,装甲魔導士パズー
100200297,装甲魔導士パズー,desc,"このカード名の①の効果は１ターンに１度しか使用できない。
①：このカードが手札・墓地に存在する場合、自分フィールドの表側表示モンスター１体を対象として発動できる。このカードを以下の効果を持つ装備魔法カード扱いでそのモンスターに装備する。
●自分のＬＰが４０００以下である限り、装備モンスターの攻撃力・守備力は２１００アップする。
●相手が発動したカードの効果の処理時に、サイコロを振る効果を持つカードが自分フィールドに存在する場合、その発動した効果を無効にできる。その後、このカードを除外する。"
100200297,装甲魔導士パズー,str1,装備
100200297,装甲魔導士パズー,str3,効果を無効にしますか？（装甲魔導士パズー）
100267001,セネトの啓示者－ネフェルタリ,name,セネトの啓示者－ネフェルタリ
