id,name,type,atk,def
100200292,사라브레드 엘프,33,1800,1500
100200293,어썰트 리온,33,2600,2500
100200294,파워 커넥션,2,0,0
100200295,사악한 마왕－조크,33,2700,1500
100260001,크라운 클랜 햇,16777249,1900,800
100262101,제타 차원의 마술왕,4113,1600,1600
100263001,다크 티라노,33,2600,1800
100263002,아르카나 포스 XII－더 행드 맨,33,2200,2200
100263003,광환상수 칸델라도,33,0,0
100263004,플라즈마 전사 에이톰,33554465,3000,2500
100263005,화이트나이트 로드,33,2000,2000
100263006,불사의 데스로드,33,1300,2000
100263007,엘리멘틀 히어로 클레이 가드맨,97,0,2800
100263008,돌 해머,2,0,0
100263009,속공소환,65538,0,0
100263010,D-버스트,2,0,0
100265002,위치크래프트 시드,33,1300,1500
100266001,고대의 비의,2,0,0
100266002,성스러운 마음의 배리어 －마인드 포스－,4,0,0
100266003,저승에서 온 사자,33,2700,2500
100266004,다크 암드 드래곤 버니셔,33554465,2800,1000
100266005,빙결계의 용윤 엑하자르,8225,3000,1000
100266006,No.101 사일런트 아너즈 아크 나이트－소울 어사일럼,8388641,2100,1000
100267001,세네트의 계시자－네페르타리,33,0,1000
100267002,세네트의 계시자－아멘호테프,33,0,1500
100267003,세네트나크트 스핑크스,161,5000,2500
100267004,타우세네트 아자트,161,3200,2500
100267005,세네트메스 네크베트,161,2800,1500
100267006,베레세네트 에므 헤르,524290,0,0
100267007,세네트 베르 아크,2,0,0
100267009,아므 두아세네트,4,0,0
100267010,세네트 캐터랙트,4,0,0
100267011,세네트 썬더폴,1048580,0,0
100268201,파동의 초마도검사－블랙 파라딘,97,2900,2400
100269038,异色眼超驭龙,67108897,2500,7
100269113,月光绯虎,33,1900,1500
100269215,疾行机人 达磨打落人,4129,200,1600
101305081,고대의 증인,4129,0,3000
101305082,디스트러스트 파라노이어,4,4000,4000
101305083,염귀 요마그나,33554465,3300,0
101305084,썬더크래시 스네어크로우,33,1600,2800
101305085,교란변수 믹수시아,97,2700,1500
101305086,샤머니트 샤먼나이트,8388641,1700,2400
101305087,숲의 성수 세리네메시아,33,0,1600
101305088,임포스터 시프트,131074,0,0
101305089,모티룩스 헤루부르,8388641,3000,2100
101305090,엔젤레키 샤트란가,8225,3000,0
101305091,엔젤레키 바스티온,8225,3000,2500
101305092,엔젤레키 데스트리에,8225,2500,2000
101305093,엔젤레키 엔리스티드,12321,1500,1500
101305094,엔젤레키 프라블럼,524290,0,0
101305095,엔젤레키 디스터번스,4,0,0
101305096,엔젤레키 오프닝 투 E4,4,0,0
101305181,아크 토큰,16401,0,0
101305188,임포스터 토큰,16401,800,800
101306001,질풍의 표범전사 팬서 워리어,33,2000,1600
101306002,와이반 용기사,33,1700,1500
101306003,인조인간－사이코 에너지 쇼커,33,2400,1500
101306004,대해의 전설－어부,33,1850,1600
101306005,샤이닝 엄브럴,33,0,2000
101306006,V엄브럴,33,500,1500
101306007,고르고닉 엄브럴,33,1200,0
101306008,사우전드 엄브럴,33,0,0
101306009,금신의 아슈트라 아카스나,33,3000,300
