id,ot,alias,setcode,type,atk,def,level,race,attribute,category
100200285,1,0,0,33,1900,1200,4,64,2,512
100200286,1,0,0,33,1300,400,4,8192,32,786432
100200287,1,0,0,33,1400,800,4,16,1,8328
100200288,1,0,0,131074,0,0,0,0,0,67371520
100200386,1,0,0,16401,400,400,1,8192,16,0
100257001,1,0,14483483,33,3000,2500,8,8192,16,2147745794
100257002,1,0,221,33,0,0,10,8192,16,270848
100257003,1,0,0,2,0,0,0,0,0,262400
100257004,1,0,147,97,4000,2800,10,32,16,25088
100257005,1,0,4243,33,2100,1600,5,32,16,2416181248
100257006,1,0,70,131074,0,0,0,0,0,268697600
100257007,1,0,0,8225,0,0,12,8192,32,2147753984
100257008,1,0,0,8225,3500,3000,12,8192,32,16786448
100257009,1,0,4165,131076,0,0,0,0,0,2147491840
100257010,1,0,5574779,8388641,4500,3000,8,8192,16,2147745792
100257011,1,0,5574779,33,3000,2500,8,8192,16,262148
100257012,1,0,123,33,2000,2000,8,32,16,262664
100257013,1,0,273682675,97,2800,2000,8,8192,32,2418286592
100257014,1,0,35279399747839,8225,2500,2000,7,8192,8,537141250
100257015,1,0,18533328290107,8388641,2500,2000,4,8192,32,1074003971
100257016,1,0,271,67108897,3000,45,4,8192,32,266242
100257017,1,0,258,33,1500,1600,5,8192,32,262146
100257018,1,0,271,65538,0,0,0,0,0,262192
100257019,1,0,0,33,3300,2000,8,4,16,794633
100257020,1,0,0,33,3000,1000,10,8,32,21757954
100257021,1,0,0,2,0,0,0,0,0,512
100257022,1,0,734,4129,0,0,8,8,32,537133059
100257023,1,0,734,4129,0,0,10,1,32,537133056
100257024,1,0,0,33,800,800,3,8,4,4194304
100257025,1,0,11,33,100,100,1,8,32,4456448
100257026,1,0,207,33554465,3500,2000,10,1,16,4194308
100257027,1,0,149,2,0,0,0,0,0,1074003970
100257028,1,0,0,67108897,5000,47,5,16777216,1,54525954
100257119,1,0,0,16401,800,800,2,4,16,0
100257120,1,0,0,16401,3000,1000,10,8,32,0
100258001,1,0,273617187,33554465,2900,2300,9,8192,4,270339
100258002,1,0,4339,97,2200,1500,6,1024,32,1
100260001,1,0,476,16777249,1900,800,117899269,32768,16,270376
100261001,1,0,0,33,1100,1500,4,16384,32,512
100261002,1,0,0,33,0,0,1,16384,32,262144
100261003,1,0,0,33,2300,2000,6,8,32,262176
100261005,1,0,6422749,4194401,4500,3800,12,8192,16,131092
100261006,1,0,98,524290,0,0,0,0,0,516
100262001,1,0,0,17,100,2100,1,4096,16,0
101305001,1,0,207,33554465,3000,2500,8,2,32,33554436
101305002,1,0,69,33,2500,1200,6,8,32,544
101305003,1,0,0,33,1400,2000,4,1,16,262464
101305004,1,0,0,33,300,200,1,8,32,0
101305005,1,0,4420,33554465,0,0,10,128,4,8769
101305006,1,0,4420,33554465,4000,4000,10,4096,16,4194880
101305007,1,0,4420,33554465,4000,4000,10,8,32,8706
101305008,1,0,4420,33,2300,3000,8,4096,16,262208
101305009,1,0,4420,33,0,0,1,8,32,262160
101305010,1,0,735,33,3000,2400,8,4096,1,2147745795
101305011,1,0,735,33,1800,1200,4,4096,1,262658
101305012,1,0,735,33,1500,900,3,4096,1,262154
101305013,1,0,735,33,1200,600,2,4096,1,262657
101305014,1,0,735,33,900,300,1,4096,1,262659
101305018,1,0,4315,33,1000,300,3,1,32,1074004480
101305019,1,0,4315,33,400,1400,3,1,32,1074003968
101305023,1,0,0,33,2400,1000,7,4096,16,2147484688
101305027,1,0,207,161,2800,2600,8,2,32,50332676
101305028,1,0,4303,161,3000,2500,8,1,1,50372612
101305029,1,0,4420,97,5000,5000,10,8,32,2189426688
101305036,1,0,0,8225,0,0,8,1048576,32,4026794496
101305037,1,0,4315,8388641,1900,0,3,1,32,262672
101305042,1,0,476,67108897,1000,10,2,32768,16,33120
101305043,1,0,0,67108897,0,47,5,32,32,1176
101305044,1,0,0,130,0,0,0,0,0,263188
101305045,1,0,0,65538,0,0,0,0,0,262163
101305046,1,0,207,65538,0,0,0,0,0,264194
101305047,1,0,4420,2,0,0,0,0,0,576
101305048,1,0,4420,524290,0,0,0,0,0,262408
101305049,1,0,4420,131074,0,0,0,0,0,16
101305050,1,0,0,524290,0,0,0,0,0,794640
101305051,1,0,735,65538,0,0,0,0,0,19
101305052,1,0,735,131074,0,0,0,0,0,262161
101305057,1,0,9769179,2,0,0,0,0,0,1074003968
101305060,1,0,192,65538,0,0,0,0,0,8658944
101305065,1,0,0,131076,0,0,0,0,0,262736
101305066,1,0,4420,4,0,0,0,0,0,2416181251
101305067,1,0,4420,131076,0,0,0,0,0,2080
101305068,1,0,735,131076,0,0,0,0,0,2147483665
101305069,1,0,735,131076,0,0,0,0,0,8704
101305073,1,0,4315,4,0,300,3,1,32,1074006016
101305076,1,0,476,4,0,0,0,0,0,515
101305150,1,0,0,16401,2000,2000,6,32,1,0
