id,name,field,value
100200290,운명의 스테이지,name,운명의 스테이지
100200290,운명의 스테이지,desc,"이 카드명의 카드는 1턴에 1장밖에 발동할 수 없다.
이 카드는 패의 일반 몬스터 1장을 상대에게 보여주고, 세트한 턴에 발동할 수도 있다.
①: 자신의 패 / 묘지에서 일반 몬스터를 5장까지 공격 표시로 특수 소환한다. 이 카드의 발동 후, 턴 종료시까지 자신은 엑스트라 덱에서 몬스터를 특수 소환할 수 없다."
100200290,운명의 스테이지,str1,발동
100200290,운명의 스테이지,str2,{CARD}의 효과를 적용하여 발동합니다.
100200291,胶囊怪兽棋,name,胶囊怪兽棋
100200291,胶囊怪兽棋,desc,"这个卡名的①②的效果1回合各能使用1次。
①：双方玩家在自身主要阶段以自身墓地1只怪兽为对象才能发动。那只怪兽当作永续魔法卡使用在自身的魔法与陷阱区域以表侧表示放置。
②：双方玩家在自身结束阶段把自身场上1张表侧表示的怪兽卡送去墓地才能发动。从卡组把比那只怪兽原本等级高1~3而原本种族·属性相同的1只怪兽特殊召唤。 "
100200291,胶囊怪兽棋,str2,몬스터를 놓는다
100200291,胶囊怪兽棋,str3,특수 소환
100200292,사라브레드 엘프,name,사라브레드 엘프
100200292,사라브레드 엘프,desc,"이 카드명의 ①의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 자신의 메인 페이즈에 발동할 수 있다. 덱에서 장착 마법 카드 1장을 묘지로 보낸다. 그 후, 이 카드의 공격력은 상대 턴 종료시까지 500 올린다.
②: 이 카드가 전투로 상대 몬스터를 파괴했을 때에 발동할 수 있다. ""사라브레드 엘프""를 제외한, 레벨 4 이하의 마법사족・빛 속성 몬스터 1장을 덱에서 선택해, 패에 넣거나 특수 소환한다."
100200292,사라브레드 엘프,str1,묘지로 보낸다
100200292,사라브레드 엘프,str2,덱 조작
100200293,어썰트 리온,name,어썰트 리온
100200293,어썰트 리온,desc,"이 카드는 야수전사족 몬스터 1장을 릴리스하고 앞면 표시로 어드밴스 소환할 수 있다.
이 카드명의 ②의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 이 카드가 몬스터와의 전투로 상대에게 주는 전투 데미지는 배가 된다.
②: 이 카드가 묘지에 존재하는 상태에서, 자신 필드에 야수전사족 몬스터가 일반 소환 / 특수 소환되었을 경우에 발동할 수 있다. 이 카드를 패에 넣는다. 그 후, 이 카드의 어드밴스 소환을 앞면 표시로 실행할 수 있다. 이 효과로 어드밴스 소환한 이 카드는, 공격력을 500 올리고, 필드에서 벗어났을 경우에 제외된다."
100200293,어썰트 리온,str1,야수전사족 몬스터 1장을 릴리스하여 어드밴스 소환
100200293,어썰트 리온,str2,패에 넣는다
100200293,어썰트 리온,str3,어드밴스 소환하겠습니까?
100200294,파워 커넥션,name,파워 커넥션
100200294,파워 커넥션,desc,"이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 자신 필드의 앞면 표시 몬스터를 임의의 수만큼 대상으로 하고 발동할 수 있다(2장 이상을 대상으로 하는 경우는 같은 종족이어야 한다). 대상의 몬스터의 공격력은 턴 종료시까지, 대상의 몬스터의 수×500 올린다.
②: 자신이 '무장전생'을 발동한 턴에 발동할 수 있다. 묘지의 이 카드를 패에 넣는다."
100200294,파워 커넥션,str1,발동
100200294,파워 커넥션,str2,회수
100260001,크라운 클랜 햇,name,크라운 클랜 햇
100260001,크라운 클랜 햇,desc,"【펜듈럼 효과】
이 카드명의 펜듈럼 효과는 1턴에 1번밖에 사용할 수 없다.
①: 자신 메인 페이즈에 발동할 수 있다. 덱에서 펜듈럼 몬스터 이외의 ""크라운 클랜"" 카드 1장을 묘지로 보내고, 이 카드를 특수 소환한다. 이 효과의 발동 후, 다음 턴 종료시까지 자신은 덱 / 엑스트라 덱에서 특수 소환된 몬스터의 효과를 발동할 수 없다.
【몬스터 효과】
①: 어드밴스 소환한 몬스터가 자신 필드에 존재하는 한, 상대 필드의 몬스터의 수비력은 1500 내린다.
②: 이 카드가 릴리스되었을 경우, 이하의 효과에서 1개를 선택하고 발동할 수 있다(이 카드명의 이하의 효과는 각각 1턴에 1번밖에 선택할 수 없다).
●서로의 엑스트라 덱(앞면) / 필드의 펜듈럼 몬스터를 전부 덱으로 되돌린다.
●덱 / 엑스트라 덱에서 펜듈럼 몬스터 이외의 ""크라운 클랜"" 몬스터 1장을 소환 조건을 무시하고 특수 소환한다."
100260001,크라운 클랜 햇,str1,특수 소환
100260001,크라운 클랜 햇,str2,효과를 선택한다
100260001,크라운 클랜 햇,str3,덱으로 되돌린다
100260001,크라운 클랜 햇,str4,특수 소환
100261001,퍼니 다크 래빗,name,퍼니 다크 래빗
100261001,퍼니 다크 래빗,desc,"①: 이 카드를 일반 소환 / 특수 소환했을 때에 적용한다. 이 턴에, 자신은 통상 소환 외에도 1번만, 자신 메인 페이즈에 ""툰 월드""의 카드명이 쓰여진 몬스터 1장을 일반 소환할 수 있다.
②: 필드에 ""툰 월드""가 존재하는 한, 이 카드는 툰 몬스터로 취급한다.
③: 1턴에 1번, 자신 메인 페이즈에 발동할 수 있다. 덱에서 ""툰"" 필드 / 지속 마법 카드 1장을 고르고, 패에 넣거나 자신 필드에 앞면 표시로 놓는다."
100261001,퍼니 다크 래빗,str2,「퍼니 다크 래빗」의 효과로 소환
100261001,퍼니 다크 래빗,str3,서치 효과
100261001,퍼니 다크 래빗,str4,놓는다
100261002,코믹캣,name,코믹캣
