id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200292,사라브레드 엘프,"이 카드명의 ①의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 자신의 메인 페이즈에 발동할 수 있다. 덱에서 장착 마법 카드 1장을 묘지로 보낸다. 그 후, 이 카드의 공격력은 상대 턴 종료시까지 500 올린다.
②: 이 카드가 전투로 상대 몬스터를 파괴했을 때에 발동할 수 있다. ""사라브레드 엘프""를 제외한, 레벨 4 이하의 마법사족・빛 속성 몬스터 1장을 덱에서 선택해, 패에 넣거나 특수 소환한다.",묘지로 보낸다,덱 조작,,,,,,,,,,,,,,
100200293,어썰트 리온,"이 카드는 야수전사족 몬스터 1장을 릴리스하고 앞면 표시로 어드밴스 소환할 수 있다.
이 카드명의 ②의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 이 카드가 몬스터와의 전투로 상대에게 주는 전투 데미지는 배가 된다.
②: 이 카드가 묘지에 존재하는 상태에서, 자신 필드에 야수전사족 몬스터가 일반 소환 / 특수 소환되었을 경우에 발동할 수 있다. 이 카드를 패에 넣는다. 그 후, 이 카드의 어드밴스 소환을 앞면 표시로 실행할 수 있다. 이 효과로 어드밴스 소환한 이 카드는, 공격력을 500 올리고, 필드에서 벗어났을 경우에 제외된다.",야수전사족 몬스터 1장을 릴리스하여 어드밴스 소환,패에 넣는다,어드밴스 소환하겠습니까?,,,,,,,,,,,,,
100200294,파워 커넥션,"이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 자신 필드의 앞면 표시 몬스터를 임의의 수만큼 대상으로 하고 발동할 수 있다(2장 이상을 대상으로 하는 경우는 같은 종족이어야 한다). 대상의 몬스터의 공격력은 턴 종료시까지, 대상의 몬스터의 수×500 올린다.
②: 자신이 '무장전생'을 발동한 턴에 발동할 수 있다. 묘지의 이 카드를 패에 넣는다.",발동,회수,,,,,,,,,,,,,,
100260001,크라운 클랜 햇,"【펜듈럼 효과】
이 카드명의 펜듈럼 효과는 1턴에 1번밖에 사용할 수 없다.
①: 자신 메인 페이즈에 발동할 수 있다. 덱에서 펜듈럼 몬스터 이외의 ""크라운 클랜"" 카드 1장을 묘지로 보내고, 이 카드를 특수 소환한다. 이 효과의 발동 후, 다음 턴 종료시까지 자신은 덱 / 엑스트라 덱에서 특수 소환된 몬스터의 효과를 발동할 수 없다.
【몬스터 효과】
①: 어드밴스 소환한 몬스터가 자신 필드에 존재하는 한, 상대 필드의 몬스터의 수비력은 1500 내린다.
②: 이 카드가 릴리스되었을 경우, 이하의 효과에서 1개를 선택하고 발동할 수 있다(이 카드명의 이하의 효과는 각각 1턴에 1번밖에 선택할 수 없다).
●서로의 엑스트라 덱(앞면) / 필드의 펜듈럼 몬스터를 전부 덱으로 되돌린다.
●덱 / 엑스트라 덱에서 펜듈럼 몬스터 이외의 ""크라운 클랜"" 몬스터 1장을 소환 조건을 무시하고 특수 소환한다.",특수 소환,효과를 선택한다,덱으로 되돌린다,특수 소환,,,,,,,,,,,,
100262101,泽塔次元的魔术王,"虚空世界的观测者。通过一切时空的扭曲观测森罗万象。
请当心。当你窥探梦境时，泽塔也正窥视着这个世界。",,,,,,,,,,,,,,,,
100263001,다크 티라노,"이 카드명의 ①③의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 마법 카드의 효과가 발동한 턴의 자신 메인 페이즈에 발동할 수 있다. 이 카드를 패에서 특수 소환한다.
②: 상대 필드의 몬스터가 전부 수비 표시인 한, 이 카드는 직접 공격할 수 있다.
③: 이 카드가 묘지로 보내졌을 경우에 발동할 수 있다. 덱에서 레벨 8 이상의 공룡족 몬스터 1장을 패에 넣는다. 상대 필드에 몬스터가 존재할 경우, 추가로 패에 넣은 그 몬스터를 특수 소환할 수 있다.",특수 소환,패에 넣는다,특수 소환?,,,,,,,,,,,,,
100263002,아르카나 포스 XII－더 행드 맨,"이 카드명의 ①의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 카드의 효과가 발동했을 때, 패의 이 카드를 상대에게 보여주고 발동할 수 있다. 패에서 ""아르카나 포스"" 몬스터 1장을 수비 표시로 특수 소환한다.
②: 이 카드를 일반 소환 / 반전 소환 / 특수 소환했을 때에 발동한다. 코인 토스를 1회 실행하고, 그 앞뒷면에 따라 이하의 효과를 적용한다.
●앞: 자신 필드의 몬스터 1장을 파괴하고, 자신은 그 원래 공격력만큼의 데미지를 받는다.
●뒤: 상대 필드의 몬스터 1장을 파괴하고, 그 원래 공격력만큼의 데미지를 상대에게 준다.",특수 소환,동전 던지기 효과,,,,,,,,,,,,,,
100263003,광환상수 칸델라도,"이 카드명의 ①③의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 이 카드가 패에 존재할 경우, 패에서 다른 카드 2장을 버리고 발동할 수 있다. 이 카드를 특수 소환한다. 그 후, 코인 토스를 실행하는 효과를 가진 카드 1장을 덱에서 패에 넣을 수 있다.
②: 이 카드의 공격력 / 수비력은, 자신의 패의 수 × 1000 올린다.
③: 덱에서 카드를 패에 넣는 효과를 포함하는, 마법 / 함정 / 몬스터의 효과가 발동했을 때에 발동할 수 있다. 그 효과를 무효로 한다.",특수 소환,무효,패에 넣는다?,,,,,,,,,,,,,
100263004,플라즈마 전사 에이톰,"이 카드명은 룰상 ""자석의 전사"" 카드로도 취급한다.
이 카드는 통상 소환할 수 없다.
""플라즈마 전사 에이톰""은 1턴에 1번, 자신 필드의 레벨 7 이상의 몬스터 1장을 릴리스했을 경우에만 패 / 묘지에서 특수 소환할 수 있다.
① 1턴에 1번, ""플라즈마 전사 에이톰""이 아닌, ""마그넷 워리어"" 몬스터나 ""자석의 전사"" 몬스터 1장을 덱에서 묘지로 보내고 발동할 수 있다. 이 턴에, 이 카드의 원래 공격력은 1500이 되고, 직접 공격할 수 있다.",,직접 공격,,,,,,,,,,,,,,
100263005,화이트나이트 로드,"이 카드명의 ①의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 자신 묘지에서 몬스터 3장을 제외하고 발동할 수 있다. 이 카드를 패에서 특수 소환한다. 그 후, 이하의 효과에서 1개를 고르고 적용할 수 있다.
●패 / 덱에서 ""화이트나이트"" 몬스터 1장을 특수 소환한다.
●덱에서 ""순백의 베일"" 1장을 패에 넣는다.
②: 이 카드가 상대 몬스터와 전투를 실행하는 공격 선언시에 발동한다. 그 상대 몬스터의 공격력을 0으로 한다.
③: 이 카드가 상대에 의해 파괴되었을 경우에 발동한다. 상대에게 1000 데미지를 준다.",특수 소환,공격력을 0으로 한다,데미지를 준다,효과를 처리하지 않는다,특수 소환,패에 넣는다,,,,,,,,,,
100263006,불사의 데스로드,"이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 이 턴에 몬스터가 전투로 파괴된 경우, 엔드 페이즈에 발동할 수 있다. 이 카드를 패 / 묘지에서 특수 소환한다. 이 턴에 ""불사의 데스로드""가 전투로 파괴된 경우, 이 효과로 특수 소환한 이 카드는, 원래 공격력이 3000이 되고, 효과로는 파괴되지 않는다.
②: 자신 메인 페이즈에 발동할 수 있다. 상대 필드의 카드의 수 ＋ 1장만큼, 덱에서 ""일격필살! 슬래시 드로우""를 포함하는 카드를 상대에게 보여주고, 좋아하는 순서대로 덱 위에 놓는다.",특수 소환,덱 맨 위에 놓는다,덱 맨 위에 놓을 카드를 선택하십시오.,,,,,,,,,,,,,
100263007,엘리멘틀 히어로 클레이 가드맨,"""엘리멘틀 히어로"" 몬스터 ＋ 전사족 몬스터
이 카드명의 ①의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 이 카드를 특수 소환했을 경우에 발동할 수 있다. 덱에서 ""엘리멘틀 히어로"" 몬스터 1장을 특수 소환한다. 상대 필드에 카드가 존재할 경우, 추가로 그 수 × 400 데미지를 상대에게 줄 수 있다. 이 턴에, 자신은 ""히어로"" 몬스터밖에 엑스트라 덱에서 특수 소환할 수 없다.
②: 이 카드가 몬스터 존에 존재하는 한, 자신 필드의 다른 ""엘리멘틀 히어로"" 몬스터는 전투 / 효과로는 파괴되지 않는다.",특수 소환,데미지를 주겠습니까?,,,,,,,,,,,,,,
100263008,돌 해머,"이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 자신 필드의 몬스터 1장을 대상으로 하고 발동할 수 있다. 그 몬스터를 파괴하고, 자신은 2장 드로우한다. 그 후, 상대 필드의 몬스터 1장의 표시 형식을 변경할 수 있다.
②: 이 카드가 묘지에 존재하는 상태에서, 자신 묘지에서 몬스터가 특수 소환되었을 경우에 발동할 수 있다. 이 카드를 패에 넣는다.",발동,회수,표시 형식을 변경하시겠습니까?,,,,,,,,,,,,,
100263009,속공소환,"이 카드명의 ②의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 몬스터 1장의 통상 소환을 실행한다. 그 시기에, 상대 필드에 몬스터가 존재하고 있으면, 레벨 5 이상의 몬스터를 일반 소환할 경우에 필요한 릴리스를 없앨 수 있다.
②: 자신 메인 페이즈에, 이 턴에 묘지로 보내지지 않은 이 카드를 묘지에서 제외하고 발동할 수 있다. 통상 소환 가능한 레벨 5 이상의 몬스터 1장을 자신의 덱 / 묘지에서 패에 넣는다. 그 후, 그 몬스터 1장의 어드밴스 소환을 실행한다.",발동,패에 넣는다,「속공소환」의 효과를 적용하여 릴리스 없이 소환하시겠습니까?,,,,,,,,,,,,,
100263010,D-버스트,"이 카드명의 카드는 1턴에 1장밖에 발동할 수 없다.
①: 자신 필드의 앞면 표시의 마법 카드 1장을 대상으로 하고 발동할 수 있다. 그 카드를 파괴하고, 자신은 1장 드로우한다. 그 후, 자신 필드에 ""데스티니 히어로"" 몬스터가 존재할 경우, 자신의 패 / 묘지 / 제외 상태인 ""데스티니 히어로"" 몬스터 1장을 특수 소환할 수 있다.
②: 장착 카드를 장착하고 있는 몬스터 또는 ""데스티니 히어로 도그마 가이""가 공격한 데미지 스텝 종료시, 묘지의 이 카드를 제외하고 발동할 수 있다. 그 공격 몬스터는 1번만 더 이어서 공격할 수 있다.",드로우,추가 공격 가능,특수 소환?,,,,,,,,,,,,,
100265002,위치크래프트 시드,"이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 이 카드를 일반 소환 / 특수 소환했을 경우, 자신 필드에 ""위치크래프트 시드"" 이외의 ""위치크래프트"" 몬스터나 ""프린스 오브 엔디미온 레굴루스""가 존재하고 있으면, 필드의 앞면 표시 카드 1장을 대상으로 하고 발동할 수 있다. 그 카드를 패로 되돌린다.
②: 묘지의 이 카드를 제외하고 발동할 수 있다. 마법 카드를 포함한 패의 카드를 임의의 수만큼 상대에게 보여주고, 덱으로 되돌린다. 그 후, 자신은 되돌린 수만큼 드로우한다.",패로 되돌린다,드로우,,,,,,,,,,,,,,
100266001,고대의 비의,"이 카드명의 카드는 1턴에 1장밖에 발동할 수 없다.
①: 자신의 패 / 덱 / 묘지에서 일반 몬스터 1장을 수비 표시로 특수 소환한다(덱에서 특수 소환할 경우는 레벨 4 이하여야 한다). 자신 필드에 일반 몬스터 카드가 존재할 경우, 대신에 이하의 효과에서 1개를 고르고 적용할 수 있다.
●상대 필드의 몬스터를 전부 파괴한다.
●상대 필드의 마법 / 함정 카드를 전부 파괴한다.
●자신은 2장 드로우한다.
●자신이나 상대 묘지에서 몬스터 1장을 자신 필드에 특수 소환한다.",발동,다른 효과를 적용하시겠습니까?,몬스터를 파괴한다,마법 / 함정 카드를 파괴,드로우,특수 소환,,,,,,,,,,
100266002,성스러운 마음의 배리어 －마인드 포스－,"상대 필드에 앞면 표시 카드가 5장 이상 존재할 경우, 이 카드의 발동과 효과는 무효화되지 않으며, 이 카드는 세트한 턴에도 발동할 수 있다.
①: 이하의 어느 때에 발동할 수 있다. 상대 필드의 모든 앞면 표시 카드의 효과를 무효로 하고 파괴한다. 이 카드의 발동 후, 다음 턴 종료시까지 자신 몬스터는 직접 공격할 수 없다.
●상대 필드의 공격력이 가장 높은 몬스터의 공격 선언시
●필드의 카드를 파괴하는 몬스터의 효과를 상대가 발동했을 때
●자신 턴에 상대가 패 / 필드의 몬스터의 효과를 발동했을 때",발동,{CARD}의 효과를 적용하여 발동합니다.,,,,,,,,,,,,,,
100266003,来自冥府的使者,"这个卡名的①②的效果1回合各能使用1次。
①：自己受到战斗·效果伤害的场合才能发动。这张卡从手卡特殊召唤，自己回复2000基本分。那之后，可以从以下效果选1个适用。
●从自己的手卡·卡组·墓地把1只「来自冥府的使者」特殊召唤。
●对方场上最多2只攻击表示怪兽破坏。
②：这张卡特殊召唤的回合的结束阶段，以自己墓地1张陷阱卡为对象才能发动。那张卡在自己场上盖放。",특수 소환,함정 카드를 세트한다,특수 소환,파괴 효과,아무것도 하지 않는다,,,,,,,,,,,
101305081,고대의 증인,"이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 자신 필드 / 묘지에 싱크로 몬스터가 존재할 경우에 발동할 수 있다. 이 카드를 패에서 특수 소환한다.
②: 이 카드를 특수 소환했을 경우에 발동할 수 있다. 자신의 엑스트라 덱 / 묘지에서 싱크로 몬스터를 3장까지 지속 마법 카드로 취급하여 자신의 마법 & 함정 존에 놓는다(같은 이름의 카드는 1장까지). 그 후, 놓은 몬스터의 수와 같은 레벨의 ""아크 토큰""(기계족 / 빛 / 공 0 / 수 0) 1장을 특수 소환한다. 이 턴에, 자신은 싱크로 몬스터밖에 엑스트라 덱에서 특수 소환할 수 없다.",특수 소환,몬스터를 놓는다,,,,,,,,,,,,,,
101305082,디스트러스트 파라노이어,"이 카드명의 카드는 1턴에 1장밖에 발동할 수 없다.
①: 이 카드와 같은 세로열에 존재하는 상대 필드의 몬스터의 컨트롤을 전부 얻는다.
②: 세트된 이 카드가 상대의 효과로 필드에서 묘지로 보내졌을 경우, 또는 제외되었을 경우에 발동할 수 있다. 이 카드를 이하의 효과를 가진 효과 몬스터(악마족 / 어둠 속성 / 레벨 10 / 공 4000 / 수 4000)로서 특수 소환한다(함정 카드로는 취급하지 않는다).
● 이 카드와 같은 세로열에서 발동한 상대 카드의 효과를 받지 않는다.",컨트롤을 얻는다,특수 소환,,,,,,,,,,,,,,
101305083,염귀 요마그나,"이 카드는 통상 소환할 수 없다. 자신 묘지에서 같은 종류의 카드(몬스터, 마법, 함정) 3장을 덱 / 엑스트라 덱으로 되돌렸을 경우에만 패에서 특수 소환할 수 있다.
이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 이 카드가 특수 소환에 성공했을 경우에 발동할 수 있다. 종족 1개를 선언한다. 이 카드는 턴 종료시까지 선언한 종족이 된다.
②: 자신 메인 페이즈에 발동할 수 있다. 이 카드를 포함하는 자신 / 상대 필드의 몬스터를 융합 소재로 하여, 엑스트라 덱에서 융합 몬스터 1장을 융합 소환한다.",특수 소환,종족 변경,융합 효과,,,,,,,,,,,,,
101305084,썬더크래시 스네어크로우,"이 카드명의 ②의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 이 카드가 몬스터 존에 존재하는 한, 번개족 이외의 몬스터가 앞면 표시로 특수 소환될 때마다 발동한다. 그 몬스터는 이 턴에 공격할 수 없으며, 엔드 페이즈에 파괴된다.
②: 이 카드가 묘지에 존재할 경우, 자신 필드의 앞면 표시 카드 1장을 대상으로 하고 발동할 수 있다. 그 카드를 파괴하고, 이 카드를 패로 되돌린다.",공격을 제한한다,회수,{CARD}의 효과가 적용 중입니다.,,,,,,,,,,,,,
101305085,교란변수 믹수시아,"마법사족 몬스터 + 마법사족 이외의 몬스터 1장
이 카드명의 ①②③의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 자신 / 상대 턴에, 필드의 앞면 표시 몬스터 1장을 대상으로 하고 발동할 수 있다. 속성 1개를 선언한다. 그 몬스터는 선언한 속성이 된다.
②: 상대 메인 페이즈에 발동할 수 있다. 이 카드를 포함한 자신의 필드 / 묘지에서 융합 몬스터 카드에 기재된 융합 소재 몬스터를 제외하고, 엑스트라 덱에서 그 융합 몬스터 1장을 융합 소환한다.
③: 이 카드가 묘지에 존재할 경우, 속성 1개를 선언하고 발동할 수 있다. 묘지의 이 카드는 턴 종료시까지 선언한 속성이 된다.",속성 변경,융합 소환,속성 변경,,,,,,,,,,,,,
101305086,샤머니트 샤먼나이트,"레벨 3 몬스터 × 2장 이상
이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 이 카드를 엑시즈 소환했을 경우, 또는 자신의 함정 카드가 제외되었을 경우, 자신의 제외 상태인 함정 카드 1장을 대상으로 하고 발동할 수 있다. 그 카드를 이 카드의 엑시즈 소재로 한다.
②: 이 카드의 엑시즈 소재를 임의의 수만큼 제거하고, 그 수와 같은 레벨을 가진, 자신의 묘지 / 제외 상태인 어둠 속성 몬스터 1장을 대상으로 하여 발동할 수 있다. 그 몬스터를 특수 소환한다.",엑시즈 소재를 붙인다,특수 소환,제거할 엑시즈 소재의 수를 선택하세요,,,,,,,,,,,,,
101305087,숲의 성수 세리네메시아,"이 카드명의 ①의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 이 카드를 일반 소환 / 특수 소환했을 경우, 자신의 패 / 필드(앞면 표시)의 야수족 몬스터 1장을 엔드 페이즈까지 제외하고 발동할 수 있다. 제외한 몬스터의 원래 레벨 이하의 야수족 / 땅 속성 몬스터 1장을 덱 / 묘지에서 특수 소환한다. 그 후, 상대는 자신의 패에서 몬스터 1장을 특수 소환할 수 있다.
②: 이 카드가 몬스터 존에 존재하는 한, 공격 가능한 상대 몬스터는, 자신 필드의 공격력이 가장 높은 몬스터를 공격해야 한다.",특수 소환,특수 소환?,엔드 페이즈까지 제외한다,,,,,,,,,,,,,
101305088,임포스터 시프트,"이 카드명의 ②의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 필드의 카드를 대상으로 하고 발동한 상대의 몬스터의 효과의 처리 시에, 그 대상이 되는 카드가 그 상대 몬스터와는 다른 세로열에 존재할 경우, 상대는 자신 묘지에서 카드 1장을 제외할 수 있다. 제외하지 않았을 경우, 그 발동한 효과를 무효로 한다.
②: 자신 묘지에서 몬스터 1장을 제외하고 발동할 수 있다. 그 몬스터와 같은 레벨을 가진 ""임포스터 토큰""(사이킥족 / 땅 속성 / 공 800 / 수 800) 1장을 자신 필드에 특수 소환한다.",,특수 소환,카드를 제외하시겠습니까? (사기 전이),,,,,,,,,,,,,
101305089,모티룩스 헤루부르,"레벨 8 몬스터 × 2장 이상
이 카드명의 ①의 효과는 1턴에 1번밖에 사용할 수 없다.
①: 몬스터가 상대 묘지로 보내졌을 경우에, 그 중 1장을 대상으로 하고 발동할 수 있다. 그 몬스터를 이 카드의 아래에 겹쳐 엑시즈 소재로 한다.
②: 이 카드는 이 카드가 가지고 있는 엑시즈 소재의 수에 따라 이하의 효과를 얻는다.
●2개 이상: 이 카드는 전투 / 효과로는 파괴되지 않는다.
●3개 이상: 상대는 서로의 묘지의 카드를 카드의 효과의 대상으로 할 수 없다.
●4개 이상: 이 카드의 엑시즈 소재를 3개 제거하고 발동할 수 있다. 필드의 몬스터 1장을 묘지로 보낸다.",엑시즈 소재를 붙인다,묘지로 보낸다,,,,,,,,,,,,,,
101305090,엔젤레키 샤트란가,"튜너 ＋ 튜너 이외의 몬스터 1장 이상
이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 상대 필드의 몬스터 1장을 대상으로 하고 발동할 수 있다. 그 몬스터를 제외한다.
②: 이 카드가 지속 마법 카드로 취급하여 마법 & 함정 존에 놓였을 경우에 발동할 수 있다. 자신의 덱 / 묘지에서 ""엔젤레키"" 함정 카드 1장을 패에 넣는다.
③: 이 카드가 지속 마법 카드로 취급되어 있을 경우, 상대는 몬스터 효과를 1턴에 5번밖에 발동할 수 없다.",제외 효과,서치 효과,,,,,,,,,,,,,,
101305091,엔젤레키 바스티온,"튜너 ＋ 튜너 이외의 몬스터 1장 이상
이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 이 카드와 같은 세로열의 다른 카드 1장을 대상으로 하고 발동할 수 있다. 그 카드를 제외한다.
②: 이 카드가 지속 마법 카드로 취급하여 마법 & 함정 존에 놓였을 경우에 발동할 수 있다. 엑스트라 덱에서 ""엔젤레키 샤트란가"" 1장을 지속 마법 카드로 취급하여 자신의 마법 & 함정 존에 놓는다.
③: 이 카드가 지속 마법 카드로 취급되어 있을 경우, 필드의 다른 ""엔젤레키"" 카드는 상대의 효과로는 파괴되지 않는다.",제외 효과,배치 효과,,,,,,,,,,,,,,
101305092,엔젤레키 데스트리에,"튜너 ＋ 튜너 이외의 몬스터 1장 이상
이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 이 카드와 다른 세로열의 몬스터 1장을 대상으로 하고 발동할 수 있다. 그 몬스터를 제외한다.
②: 이 카드가 지속 마법 카드로 취급하여 마법 & 함정 존에 놓였을 경우에 발동할 수 있다. 덱에서 ""엔젤레키"" 마법 카드 1장을 패에 넣는다.
③: 이 카드가 지속 마법 카드로 취급되어 있을 경우, 상대가 카드의 효과를 발동할 때마다, 상대에게 500 데미지를 준다.",제외 효과,서치 효과,,,,,,,,,,,,,,
101305093,엔젤레키 엔리스티드,"튜너 ＋ 튜너 이외의 몬스터 1장 이상
이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 이 카드와 다른 세로열의 몬스터 1장을 대상으로 하고 발동할 수 있다. 그 몬스터를 제외한다.
②: 이 카드가 지속 마법 카드로 취급하여 마법 & 함정 존에 놓였을 경우에 발동할 수 있다. 덱에서 ""엔젤레키"" 마법 카드 1장을 패에 넣는다.
③: 이 카드가 지속 마법 카드로 취급되어 있을 경우, 상대가 카드의 효과를 발동할 때마다, 상대에게 500 데미지를 준다.",제외 효과,특수 소환,,,,,,,,,,,,,,
101305094,엔젤레키 프라블럼,"①: 1턴에 1번, 패에서 마법 / 함정 카드 1장을 버리고 발동할 수 있다. 엑스트라 덱에서 레벨 2의 ""엔젤레키"" 몬스터 1장을 특수 소환한다. 그 후, 엑스트라 덱에서 ""엔젤레키"" 몬스터 1장을 지속 마법 카드로 취급하여 자신의 마법 & 함정 존에 앞면 표시로 놓는다.
②: 자신의 필드(앞면 표시)의 ""엔젤레키"" 몬스터 카드가 전투 / 효과로 파괴되었을 경우에 발동할 수 있다. 자신의 마법 & 함정 존의 ""엔젤레키"" 몬스터 카드 1장을 엑스트라 덱으로 되돌린다. 그 후, 그 몬스터를 특수 소환한다.",특수 소환,엑스트라 덱으로 되돌린다,특수 소환?,,,,,,,,,,,,,
101305095,엔젤레키 디스터번스,"이 카드명의 ①②의 효과는 각각 1턴에 1번밖에 사용할 수 없다.
①: 자신 필드의 ""엔젤레키"" 몬스터 1장을 고르고, 엔드 페이즈까지 상대 몬스터 존으로 컨트롤을 옮긴다. 그 후, 그 몬스터의 앞 / 뒤 / 옆의 존(몬스터 존 / 마법 & 함정 존)에 존재하는 앞면 표시 카드의 효과를 무효로 한다.
②: 묘지의 이 카드를 제외하고 발동할 수 있다. 덱에서 ""엔젤레키 디스터번스"" 이외의 ""엔젤레키"" 마법 / 함정 카드 1장을 패에 넣는다.",컨트롤을 옮긴다,서치 효과,,,,,,,,,,,,,,
101305096,엔젤레키 오프닝 투 E4,"상대가 선공일 경우, 상대의 1턴째의 스탠바이 페이즈에, 이 카드의 발동은 패에서도 할 수 있다.
①: 자신의 패 / 덱 / 묘지에서 ""Angelechy"" 필드 마법 카드 1장을 자신 필드에 앞면 표시로 놓고, 엑스트라 덱에서 레벨 2 / 7의 ""Angelechy"" 몬스터 1장을 엑스트라 몬스터 존에 특수 소환하여, 엑스트라 덱에서 ""Angelechy"" 몬스터 1장을 지속 마법 카드로 취급하여 자신의 마법 & 함정 존에 앞면 표시로 놓는다. 이 카드의 발동 후, 다음 자신 턴의 종료시까지 자신은 싱크로 몬스터밖에 엑스트라 덱에서 특수 소환할 수 없다.",발동,{CARD}의 효과를 적용하여 발동합니다.,,,,,,,,,,,,,,
