id,name,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100256019,Círculo do Submundo,,,,self,,,,,,,,,,,,
101304009,Predaplanta Longinephila,,,,24094653,,,,,,,,,,,,
101304024,Fidraulis Harmonia,,self,self,,,,,,,,,,,,,
101304043,Supercouraçado Canhão de Trilho Gustav Rocket,56910167,,,,,,,,,,,,,,,
101304044,Supercouraçado Canhão de Trilho Lançador Aéreo,,self,,,,,,,,,,,,,,
101304050,Os Quatro Encantadores da Profusão,,self,,,,,,,,,,,,,,
101304051,"Lahamu, o Mensageiro da Escritura Sagrada",self,,,,,,,,,,,,,,,
101304062,"Cauda de Fadas há Muito, Muito Tempo",,,self,,,,,,,,,,,,,
101304067,Usurpação do Arquidemônio,,,self,,,,,,,,,,,,,
101304072,神艺学的厚涂-夺还-,,,self,,,,,,,,,,,,,
101304201,Ressonador Sombrio,,,,self,,,,,,,,,,,,
101304202,Vice-Dragão Poderoso,,,,self,,,,,,,,,,,,
101304208,O Estrondo do Governante,,self,,,,,,,,,,,,,,
