id,name,type,atk,def
100200292,Elfo de Sangue Puro,33,1800,1500
100200293,Leão de Ataque,33,2600,2500
100200294,Conexão Poderosa,2,0,0
100266001,Segredos Ancestrais,2,0,0
100266002,Força do Espelho da Mente,4,0,0
100266003,Emissários das Trevas,33,2700,2500
100266004,Dragão Negro Armado Punidor,33554465,2800,1000
100266005,"Ekhajar, Dragão Descendente da Barreira de Gelo",8225,3000,1000
100266006,Número 101: ARK Honra Silenciosa - Asilo da Alma,8388641,2100,1000
100266007,Céu Supremo,65538,0,0
100267001,Profeta Sennet - Nefertari,33,0,1000
100267002,Profeta Sennet - Amenhotep,33,0,1500
100267003,Esfinge Sennetnakht,161,5000,2500
100267004,Tausennet Wadjet,161,3200,2500
100267005,Sennetmes Nekhbet,161,2800,1500
100267006,Beresennet Em Heru,524290,0,0
100267007,Sennet Per Akh,2,0,0
100267009,Am Duasennet,4,0,0
100267010,Catarata Sennet,4,0,0
100267011,Trovão Sennet,1048580,0,0
100268201,Paladino Negro - Onda Oscilante,97,2900,2400
100269038,Dragão Sobreescrevedor de Olhos Anômalos,67108897,2500,7
100269113,Tigre Carmesin Luzlunar,33,1900,1500
100269215,Velocidaroide Darumaknocker,4129,200,1600
