id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200289,"Ilios, o Dragão do Sol Negro","Você pode revelar 3 monstros Dragão no seu Deck Adicional com 3000 ou mais ATK e nomes diferentes; Invoque por Invocação-Especial este card da sua mão.
Se este card for enviado para o Cemitério: você pode escolher 1 Monstro Fusão, Sincro, Xyz ou Link Dragão que você controla; seu oponente não pode escolhe-lo com efeitos de cards neste turno. Nenhum jogador pode ativar cards ou efeitos em resposta a ativação desse efeito.
Você só pode usar cada um dos efeitos de ""Ilios, o Dragão do Sol Negro"" uma vez por turno.",Invocação Especial,Conceder proteção,O efeito de {CARD} está sendo aplicado.,,,,,,,,,,,,,
100260001,Chapéu da Companhia de Palhaços,"Escala de Pêndulo = 7
[ Efeito de Pêndulo ]
Você só pode usar o Efeito de Pêndulo de ""Chapéu da Companhia de Palhaços"" uma vez por turno.
Durante a sua Fase Principal: você pode enviar 1 card ""Companhia de Palhaços"" do seu Deck para o seu Cemitério, exceto um Monstro Pêndulo, e se fizer, Invoque este card por Invocação-Especial, você também não pode ativar os efeitos de monstros Invocados por Invocação-Especial do Deck ou Deck Adicional até o final do próximo turno.
----------------------------------------
[ Efeito de Monstro ]
Monstros que seu oponente controla perdem 1500 de DEF enquanto você controlar um monstro Invocado por Invocação-Tributo.
Se este card for oferecido como Tributo: você pode ativar 1 destes efeitos (mas você só pode usar cada um destes efeitos de ""Chapéu da Companhia de Palhaços"" uma vez por turno);
● Embaralhe todos os Monstros Pêndulo no campo e com a face para cima nos Decks Adicionais no Deck.
● Invoque por Invocação-Especial 1 monstro não-Pêndulo ""Companhia de Palhaços"" do seu Deck ou Deck Adicional, ignorando suas condições de Invocação.",Invocação Especial,Escolher um efeito,Retornar ao Deck,Invocação Especial,,,,,,,,,,,,
100261001,Coelho Escuro Engraçado,"Depois que este card for Invocado por Invocação-Normal ou Especial, durante sua Fase Principal nesse turno, você pode Invocar por Invocação-Normal 1 monstro que menciona ""Mundo Toon"" em adição a sua Invocação-Normal/Baixar (você só pode ganhar este efeito uma vez por turno).
Este card é considerado um monstro Toon enquanto ""Mundo Toon"" está no campo.
Uma vez por turno: você pode adicionar a sua mão ou colocar com a face para cima no seu campo, 1 Campo ""Toon"" ou Magia Contínua do seu Deck.",,"Invocar pelo efeito de ""Coelho Escuro Engraçado""",Efeito de busca,Colocar,,,,,,,,,,,,
100261002,Gato Cômico,"Este card é considerado um monstro Toon enquanto ""Mundo Toon"" está no campo.
Durante a Fase Principal (Efeito Rápido): você pode oferecer 1 monstro como Tributo (se você controla ""Mundo Toon"", você pode oferecer 1 monstro do oponente como Tributo, mesmo que você não o controle), e se fizer, Invoque por Invocação-Especial 1 monstro da sua mão ou Deck que menciona ""Mundo Toon"", ignorando suas condições de Invocação. Você só pode usar este efeito de ""Gato Cômico"" uma vez por turno.",,Invocação Especial,,,,,,,,,,,,,,
100261003,Caixa Maligna,"Este card é considerado um monstro Toon enquanto ""Mundo Toon"" está no campo.
Se você controla ""Mundo Toon"": você pode Invocar por Invocação-Especial este card da sua mão, então você pode adicionar à sua mão, ou Baixar, 1 Armadilha ""Toon"" do seu Deck. Você só pode usar este efeito de ""Caixa Maligna"" uma vez por turno.
Uma vez por turno (Efeito Rápido): você pode escolher 1 card em qualquer Cemitério; coloque-o no fundo do Deck.",Invocação Especial,Recuperar do Cemitério,Escolher um Card de Armadilha?,,,,,,,,,,,,,
100261004,Mago Ilusionista Sem Rosto de Olhos Negros,"Você pode descartar este card, então ative 1 desses efeitos (mas você só pode usar cada um desses efeitos de ""Mago Ilusionista Sem Rosto de Olhos Negros"" uma vez por turno);
● Coloque 1 ""Ler Mente"" da sua mão ou Deck no seu campo com a face para cima.
● Adicione 1 outro monstro do seu Cemitério à sua mão que mencione ""Mundo Toon"", então você pode Invoca-lo por Invocação-Especial, ignorando suas condições de Invocação.
Se este card batalhar com um monstro, nenhum pode ser destruído naquela batalha.",Descartar,Colocar um Card de Armadilha,Recuperar um monstro,Invocação Especial?,,,,,,,,,,,,
100261005,Dragão Definitivo Toon de Olhos Azuis,"""Dragão Toon de Olhos Azuis"" + 2 monstros Toon
Deve ser Invocado por Invocação-Especial (do seu Deck Adicional) por embaralhar os cards acima da sua mão, campo e/ou Cemitério no Deck/Deck Adicional.
Seus monstros Toon podem atacar diretamente.
Uma vez por turno: você pode adicionar 1 card ""Toon"", ou 1 card que mencione o noem daquele card ""Toon"", do seu Cemitério à sua mão.
Se seu monstro Toon é atacado, durante o cálculo de dano: você pode bani-lo até o final da Estapa de Dano.",,Recuperar,Banir,,,,,,,,,,,,,
100261006,"Mundo Toon, o Mundo Perfeito","O nome deste card se torna ""Mundo Toon"" enquanto está na Zona de Campo.
Uma vez por turno: você pode adicionar 1 card ""Toon"", ou 1 card que menciona o noem de um card ""Toon"", do seu Deck à sua mão. Você só pode usar este efeito de ""Mundo Toon, o Mundo Perfeito"" três vez por turno.
Antes de resolver a ativação de outro card ou efeito, você pode banir 1 monstro Toon que você controla imediatamente após resolver aquele card/efeito, você também não pode banir monstros com o mesmo nome original com este efeito de ""Mundo Toon, o Mundo Perfeito"" pelo resto desse turno.",,Adicionar à mão,,Banir o monstro?,,,,,,,,,,,,
100261007,Ler Mente,"(Temporariamente indisponível)

Enquanto você tem um card ""Toon"" no seu campo ou Cemitério, seu oponente deve jogar com sua mão revelada, você também pode ver seus cards Baixados a qualquer momento.
Se você tem um monstro ""Toon"" e uma Magia ""Toon"" no seu campo e/ou Cemitério: você pode declarar o nome de 1 card que não foi ativado e que não ativou seus efeitos, neste Corrente; negue os efeitos ativados dos cards com aquele nome original até o final deste turno enquanto este card está no campo com a face para cima. Você só pode usar este efeito de ""Ler Mente"" uma vez por turno.",,Declarar,,,,,,,,,,,,,,
100261023,Fazticeira Terracottan,"Se este card estiver na sua mão: você pode escolher 1 card ""Fazticeira"" no seu Cemitério, exceto ""Fazticeira Terracottan""; adicione-o a sua mão, e se fizer, Invoque este card por Invocação-Especial, você também não pode Invocar por Invocação-Especial do seu Deck Adicional pelo resto deste turno, exceto monstros ""Fazticeira"".
Durante sua Fase Principal: você pode Invocar por Invocação-Fusão 1 monstro ""Fazticeira"" do seu Deck Adicional, usando monstros da sua mão ou campo.
Você só pode usar cada um dos efeitos de ""Fazticeira Terracottan"" uma vez por turno.",Invocação Especial,Invocação Fusão,,,,,,,,,,,,,,
100261025,Fazticeira Madame Rilliona,"""Fazticeira Madame Verre"" + 2 monstros Mago
Se este card for Invocado por Invocação-Fusão: você pode Invocar por Invocação-Especial até 3 monstros ""Fazticeira"" de Nível 7 ou menor com Atributos diferentes de cada outra na sua mão e/ou Deck, você também não pode Invocar por Invocação-Especial do Deck Adicional pelo resto deste turno, exceto Monstros de Fusão.
Durante sua Fase Final, se este card está no seu Cemitério: você pode revelar 1 Magia na sua mão; Invoque por Invocação-Especial este card em Posição de Defesa.
Você só pode usar cada um dos efeitos de ""Fazticeira Madame Rilliona"" uma vez por turno.",Invocar por Invocação Especial do Deck,Invocar este card por Invocação Especial,,,,,,,,,,,,,,
100261027,Celebração das Fazticeiras,"Ative 1 desses efeitos;
● Destrua 1 monstro ""Fazticeira"" que você controla e 1 card que seu oponente controla.
● Invoque por Invocação-Fusão 1 monstro ""Fazticeira"" do seu Deck Adicional, ao embaralhar monstros Magos do seu Cemitério e/ou banimento no Deck.
Durante a sua Fase Final, se este card estiver no seu Cemitério e você controla um monstro ""Fazticeira"": você pode adicionar este card à sua mão.
Você só pode usar 1 dos efeitos de ""Celebração das Fazticeiras"" e somente uma vez por turno.",Ativar,Adicionar à mão,Efeito de destruição,Invocação Fusão,,,,,,,,,,,,
100261028,Fazticeira Walpurgis,"Durante sua Fase Principal: você pode adicionar 1 monstro ""Fazticeira"" do seu Deck à sua mão, então descarte 1 card. Você só pode usar este efeito de ""Fazticeira Walpurgis"" uma vez por turno.
Durante seu turno, se você descartaria um ou mais cards para ativar o efeito de um monstro ""Fazticeira"" que você controla, em vez disso você pode enviar 1 Magia/Armadilha ""Fazticeira"" do seu Deck para o Cemitério, exceto ""Fazticeira Walpurgis"".",Adicionar à mão,,,,,,,,,,,,,,,
