id,name,field,value
100200290,命运之盘上,name,命运之盘上
100200290,命运之盘上,desc,"这个卡名的卡在1回合只能发动1张。这张卡也能把手卡1只通常怪兽给对方观看，在盖放的回合发动。
①：从自己的手卡·墓地把最多5只通常怪兽攻击表示特殊召唤。这张卡的发动后，直到回合结束时自己不能从额外卡组把怪兽特殊召唤。"
100200290,命运之盘上,str1,เปิดใช้งาน
100200290,命运之盘上,str2,เปิดใช้งานโดยใช้เอฟเฟกต์ของ {CARD}
100200292,优秀精灵,name,优秀精灵
100200292,优秀精灵,desc,"这个卡名的①的效果1回合只能使用1次。
①：自己主要阶段才能发动。从卡组把1张装备魔法卡送去墓地。那之后，这张卡的攻击力直到对方回合结束时上升500。
②：这张卡战斗破坏对方怪兽时才能发动。从卡组选除「优秀精灵」外的1只4星以下的魔法师族·光属性怪兽加入手卡或特殊召唤。"
100200292,优秀精灵,str1,ส่งสุสาน
100200292,优秀精灵,str2,จัดการเด็ค
100200293,强袭狮子,name,强袭狮子
100200293,强袭狮子,desc,"这张卡可以把1只兽战士族怪兽解放表侧表示上级召唤。这个卡名的②的效果1回合只能使用1次。
①：这张卡用和怪兽的战斗给与对方的战斗伤害变成2倍。
②：这张卡在墓地存在的状态，自己场上有兽战士族怪兽召唤·特殊召唤的场合才能发动。这张卡加入手卡。那之后，可以表侧表示进行这张卡的上级召唤。这个效果上级召唤的这张卡攻击力上升500，从场上离开的场合除外。"
100200293,强袭狮子,str1,เรียกแบบสละโดยสละมอนสเตอร์นักรบสัตว์ป่า 1 ตัว
100200293,强袭狮子,str2,เพิ่มเข้ามือ
100200293,强袭狮子,str3,เรียกแบบสละ?
100200294,力量联结,name,力量联结
100200294,力量联结,desc,"这个卡名的①②的效果1回合各能使用1次。
①：以自己场上的表侧表示怪兽任意数量为对象才能发动（以2只以上为对象的场合必须是相同种族）。作为对象的怪兽的攻击力直到回合结束时上升作为对象的怪兽数量×500。
②：自己把「武装转生」发动的回合才能发动。墓地的这张卡加入手卡。"
100200294,力量联结,str1,เปิดใช้งาน
100200294,力量联结,str2,รีไซเคิล
100260001,道化一座 帽隐士小丑,name,道化一座 帽隐士小丑
100260001,道化一座 帽隐士小丑,desc,"Pendulum Scale = 7
[ Pendulum Effect ]
这个卡名的灵摆效果1回合只能使用1次。
①：自己主要阶段才能发动。从卡组把灵摆怪兽以外的1张「道化一座」卡送去墓地，这张卡特殊召唤。这个效果的发动后，直到下个回合的结束时自己不能把从卡组·额外卡组特殊召唤的怪兽的效果发动。
----------------------------------------
[ Monster Effect ]
①：只要上级召唤的怪兽在自己场上存在，对方场上的怪兽的守备力下降1500。
②：这张卡被解放的场合，可以从以下效果选择1个发动（这个卡名的以下效果1回合各能选择1次）。
●双方的额外卡组（表侧）·场上的灵摆怪兽全部回到卡组。
●从卡组·额外卡组把灵摆怪兽以外的1只「道化一座」怪兽无视召唤条件特殊召唤。"
100260001,道化一座 帽隐士小丑,str1,เรียกพิเศษ
100260001,道化一座 帽隐士小丑,str2,เลือกเอฟเฟกต์
100260001,道化一座 帽隐士小丑,str3,กลับเด็ค
100260001,道化一座 帽隐士小丑,str4,เรียกพิเศษ
100261001,滑稽暗黑兔,name,滑稽暗黑兔
100261001,滑稽暗黑兔,desc,"①：这张卡召唤·特殊召唤时适用。这个回合，自己在通常召唤外加上只有1次，自己主要阶段可以把有「卡通世界」的卡名记述的1只怪兽召唤。
②：只要场上有「卡通世界」存在，这张卡当作卡通怪兽使用。
③：1回合1次，自己主要阶段才能发动。从卡组选1张「卡通」场地·永续魔法卡加入手卡或在自己场上表侧表示放置。"
100261001,滑稽暗黑兔,str2,เรียกโดยเอฟเฟกต์ของ {CARD}
100261001,滑稽暗黑兔,str3,เอฟเฟกต์ค้นหา
100261001,滑稽暗黑兔,str4,วาง
100261002,漫画猫,name,漫画猫
100261002,漫画猫,desc,"这个卡名的②的效果1回合只能使用1次。
①：只要场上有「卡通世界」存在，这张卡当作卡通怪兽使用。
②：自己·对方的主要阶段才能发动。自己场上1只怪兽解放，从手卡·卡组把有「卡通世界」的卡名记述的1只怪兽无视召唤条件特殊召唤。自己场上有「卡通世界」存在的场合，也能从对方场上选解放的怪兽。"
100261002,漫画猫,str2,เรียกพิเศษ
100261003,邪魔箱,name,邪魔箱
100261003,邪魔箱,desc,"这个卡名的①的效果1回合只能使用1次。
①：自己场上有「卡通世界」存在的场合才能发动。这张卡从手卡特殊召唤。那之后，以下效果可以适用。
●从卡组选1张「卡通」陷阱卡加入手卡或在自己场上盖放。
②：只要场上有「卡通世界」存在，这张卡当作卡通怪兽使用。
③：自己·对方回合1次，以自己或对方的墓地1张卡为对象才能发动。那张卡回到卡组最下面。"
100261003,邪魔箱,str1,เรียกพิเศษ
100261003,邪魔箱,str2,กู้คืนจากสุสาน
100261003,邪魔箱,str3,เลือกการ์ดกับดัก?
100261004,暗眼幻想师·无脸幻想师,name,暗眼幻想师·无脸幻想师
100261004,暗眼幻想师·无脸幻想师,desc,"①：可以把这张卡从手卡丢弃，从以下效果选择1个发动（这个卡名的以下效果1回合各能选择1次）。
●从手卡·卡组把1张「看透心灵之眼」在自己场上表侧表示放置。
●除这张卡外的1只有「卡通世界」的卡名记述的怪兽从自己墓地加入手卡。那之后，可以把那只怪兽从手卡无视召唤条件特殊召唤。
②：这张卡和怪兽进行战斗的场合，那2只不会被那次战斗破坏。"
100261004,暗眼幻想师·无脸幻想师,str1,ทิ้ง
100261004,暗眼幻想师·无脸幻想师,str2,Place a Trap Card
100261004,暗眼幻想师·无脸幻想师,str3,กู้คืนมอนสเตอร์
100261004,暗眼幻想师·无脸幻想师,str4,เรียกพิเศษ?
100261005,青眼卡通究极龙,name,青眼卡通究极龙
100261005,青眼卡通究极龙,desc,"「青眼卡通龙」＋卡通怪兽×2
让自己的手卡·场上·墓地的上记的卡回到卡组·额外卡组的场合才能特殊召唤。
①：自己的卡通怪兽可以直接攻击。
②：1回合1次，自己主要阶段才能发动。把1张「卡通」卡或者有那卡名记述的卡从自己墓地加入手卡。
③：自己的卡通怪兽被攻击的伤害计算时才能发动。那只怪兽直到伤害步骤结束时除外。"
100261005,青眼卡通究极龙,str2,รีไซเคิล
100261005,青眼卡通究极龙,str3,ลบออก
100261006,完美世界 卡通世界,name,完美世界 卡通世界
100261006,完美世界 卡通世界,desc,"这个卡名的②的效果1回合可以使用最多3次。
①：这张卡只要在场地区域存在，卡名当作「卡通世界」使用。
②：1回合1次，自己主要阶段才能发动。把1张「卡通」卡或者有那卡名记述的卡从卡组加入手卡。
③：其他卡发动的效果适用之际，可以把自己场上1只卡通怪兽直到那个效果处理后除外（这个回合，这个卡名的这个效果不能把原本卡名相同的怪兽除外）。"
100261006,完美世界 卡通世界,str2,เพิ่มเข้ามือ
100261006,完美世界 卡通世界,str4,ลบมอนสเตอร์ตัวนั้นออก?
100261007,看透心灵之眼,name,看透心灵之眼
100261007,看透心灵之眼,desc,"（注：暂时无法正常使用）

这个卡名的②的效果1回合只能使用1次。
①：只要自己的场上或墓地有「卡通」卡存在，对方把手卡全部持续公开，自己随时可以把对方场上的里侧表示卡确认。
②：自己的场上·墓地有卡通怪兽以及「卡通」魔法卡存在的场合，宣言1个同一连锁上没有把效果发动的卡名才能发动。这张卡表侧表示存在期间，直到回合结束时原本卡名和宣言的卡相同的卡发动的效果无效化。"
100261007,看透心灵之眼,str2,ประกาศ
100261023,魔女术赤陶偶,name,魔女术赤陶偶
100261023,魔女术赤陶偶,desc,"这个卡名的①②的效果1回合各能使用1次。
①：这张卡在手卡存在的场合，以「魔女术赤陶偶」以外的自己墓地1张「魔女术」卡为对象才能发动。那张卡加入手卡，这张卡特殊召唤。这个回合，自己不是「魔女术」怪兽不能从额外卡组特殊召唤。
②：自己主要阶段才能发动。自己的手卡·场上的怪兽作为融合素材，把1只「魔女术」融合怪兽融合召唤。"
100261023,魔女术赤陶偶,str1,เรียกพิเศษ
100261023,魔女术赤陶偶,str2,ผสมเรียก
100261024,魔女术工匠·商标女巫,name,魔女术工匠·商标女巫
100261024,魔女术工匠·商标女巫,desc,"这个卡名的①②的效果1回合各能使用1次。
①：把手卡·场上的这张卡解放才能发动。从卡组把1张「魔女术」场地·永续魔法卡加入手卡。
②：这张卡在墓地存在的状态，自己场上的表侧表示的「魔女术」怪兽因对方的效果从场上离开的场合才能发动。这张卡特殊召唤，对方场上1只怪兽解放。这个效果特殊召唤的这张卡从场上离开的场合除外。"
100261024,魔女术工匠·商标女巫,str1,เพิ่มเข้ามือ
100261024,魔女术工匠·商标女巫,str2,เรียกพิเศษ
100261025,大魔女 桑德里永,name,大魔女 桑德里永
100261025,大魔女 桑德里永,desc,"「魔女术师傅·玻璃女巫」＋魔法师族怪兽×2
这个卡名的①②的效果1回合各能使用1次。
①：这张卡融合召唤的场合才能发动。从手卡·卡组把最多3只7星以下的「魔女术」怪兽特殊召唤（相同属性最多1只）。这个回合，自己不是融合怪兽不能从额外卡组特殊召唤。
②：这张卡在墓地存在的场合，自己结束阶段，把手卡1张魔法卡给对方观看才能发动。这张卡守备表示特殊召唤。"
100261025,大魔女 桑德里永,str1,เรียกพิเศษจากเด็ค
100261025,大魔女 桑德里永,str2,เรียกพิเศษการ์ดใบนี้
100261026,魔女术学童组合,name,魔女术学童组合
100261026,魔女术学童组合,desc,"「魔女术」怪兽＋魔法师族怪兽
这个卡名的①②的效果1回合各能使用1次。
①：自己·对方的主要阶段以及战斗阶段，可以从以下效果选择1个发动。
●从卡组把1张「魔女术」魔法卡加入手卡。
●把手卡1张「魔女术」通常·速攻魔法卡给对方观看才能发动。那张魔法卡发动时的效果适用。
②：自己结束阶段才能发动。自己的除外状态的1张「魔女术」卡回到墓地。"
100261026,魔女术学童组合,str1,เปิดใช้งาน
100261026,魔女术学童组合,str2,กลับสุสาน
100261026,魔女术学童组合,str3,เอฟเฟกต์ค้นหา
100261026,魔女术学童组合,str4,คัดลอกเอฟเฟกต์
100261027,魔女术的庆祝会,name,魔女术的庆祝会
100261027,魔女术的庆祝会,desc,"这个卡名的①②的效果1回合只能有1次使用其中任意1个。
①：可以从以下效果选择1个发动。
●自己场上1只「魔女术」怪兽和对方场上1张卡破坏。
●自己的墓地·除外状态的魔法师族怪兽作为融合素材回到卡组，把1只「魔女术」融合怪兽融合召唤。
②：自己结束阶段，这张卡在墓地存在，自己场上有「魔女术」怪兽存在的场合才能发动。这张卡加入手卡。"
100261027,魔女术的庆祝会,str1,เปิดใช้งาน
100261027,魔女术的庆祝会,str2,เพิ่มเข้ามือ
100261027,魔女术的庆祝会,str3,เอฟเฟกต์ทำลาย
100261027,魔女术的庆祝会,str4,ผสมเรียก
100261028,魔女的圣夜行,name,魔女的圣夜行
100261028,魔女的圣夜行,desc,"这个卡名的①的效果1回合只能使用1次。
①：自己主要阶段才能发动。从卡组把1只「魔女术」怪兽加入手卡。那之后，选自己1张手卡丢弃。
②：自己回合，为让自己场上的「魔女术」怪兽的效果发动而把手卡丢弃的场合，可以作为代替从卡组把「魔女的圣夜行」以外的1张「魔女术」魔法·陷阱卡送去墓地。"
100261028,魔女的圣夜行,str1,เพิ่มเข้ามือ
100261029,魔女术的歪曲,name,魔女术的歪曲
100261029,魔女术的歪曲,desc,"这个卡名的①②的效果1回合各能使用1次。
①：自己场上有5星以上的「魔女术」怪兽存在，怪兽的效果·魔法·陷阱卡发动时才能发动。那个发动无效并破坏。
②：把这个回合没有送去墓地的这张卡从墓地除外才能发动。从卡组把1只5星以上的魔法师族怪兽加入手卡。那之后，选自己1张手卡丢弃。"
100261029,魔女术的歪曲,str1,เปิดใช้งาน
100261029,魔女术的歪曲,str2,เพิ่มเข้ามือ
100261047,破械式鬼 萨拉,name,破械式鬼 萨拉
100261047,破械式鬼 萨拉,desc,"这个卡名的①②的效果1回合各能使用1次。
①：自己·对方的主要阶段，把这张卡从手卡丢弃才能发动。从手卡把1只恶魔族怪兽特殊召唤。那之后，自己场上1张卡破坏。
②：这张卡在墓地存在的状态，场上的卡被战斗或者「破械式鬼 萨拉」以外的卡的效果破坏的场合才能发动。这张卡加入手卡或特殊召唤。这个效果特殊召唤的这张卡从场上离开的场合回到卡组最下面。"
100261047,破械式鬼 萨拉,str1,เรียกพิเศษ
100261047,破械式鬼 萨拉,str2,รีไซเคิล
100261048,破械式鬼 斯玛,name,破械式鬼 斯玛
100261048,破械式鬼 斯玛,desc,"这个卡名的①②的效果1回合各能使用1次。
①：这张卡召唤的场合才能发动。除「破械式鬼 斯玛」外的1只4星以下的「破械」怪兽从卡组特殊召唤。那之后，自己场上1张卡破坏。这个回合，自己不是恶魔族怪兽不能特殊召唤。
②：场上的这张卡被战斗或者「破械式鬼 斯玛」以外的卡的效果破坏的场合才能发动。从手卡·卡组把「破械式鬼 斯玛」以外的1只「破械」怪兽特殊召唤。"
100261048,破械式鬼 斯玛,str1,เรียกพิเศษจากเด็ค
100261048,破械式鬼 斯玛,str2,เรียกพิเศษจากมือ/เด็ค
100261049,破械冥官 篁,name,破械冥官 篁
100261049,破械冥官 篁,desc,"这个卡名的①②的效果1回合各能使用1次。
①：以自己场上最多3张卡为对象才能发动。那些卡破坏，这张卡从手卡特殊召唤。那之后，破坏的卡的原本种类的以下效果各能适用。
●怪兽：自己抽1张。
●魔法：场上1只怪兽的表示形式变更。
●陷阱：场上1张其他卡破坏。
②：场上的这张卡被效果破坏的场合才能发动。场上的怪兽全部破坏。"
100261049,破械冥官 篁,str1,เรียกพิเศษ
100261049,破械冥官 篁,str2,เอฟเฟกต์ทำลาย
100261049,破械冥官 篁,str3,จั่วการ์ด 1 ใบ?
100261049,破械冥官 篁,str4,เปลี่ยนตำแหน่งโจมตี?
100261049,破械冥官 篁,str5,ทำลาย?
100261050,破械焰魔天 阎摩,name,破械焰魔天 阎摩
100261050,破械焰魔天 阎摩,desc,"包含「破械神」怪兽的怪兽2只以上
这个卡名的①②的效果1回合各能使用1次。
①：自己结束阶段，以这个回合被破坏的自己墓地最多2只恶魔族怪兽为对象才能发动。那些怪兽特殊召唤。只要这个效果特殊召唤的怪兽在自己场上表侧表示存在，自己不是恶魔族怪兽不能特殊召唤。
②：场上的这张卡被战斗·效果破坏的场合，可以作为代替把自己或对方的场上1张表侧表示卡破坏。"
100261050,破械焰魔天 阎摩,str1,เรียกพิเศษ
100261050,破械焰魔天 阎摩,str3,เรียกพิเศษโดยเอฟเฟกต์ของ {CARD}
100261051,破械神双 罗寂刹,name,破械神双 罗寂刹
100261051,破械神双 罗寂刹,desc,"包含恶魔族怪兽的怪兽2只以上
这个卡名的①②的效果1回合各能使用1次。
①：对方把怪兽表侧表示特殊召唤的场合，以那之内的1只为对象才能发动。自己场上1只恶魔族怪兽破坏，作为对象的怪兽的效果直到回合结束时无效。
②：自己场上有连接4以上的「破械」连接怪兽存在，场上的怪兽的效果发动时，把墓地的这张卡除外才能发动。那只把效果发动的怪兽破坏。"
100261051,破械神双 罗寂刹,str1,ยกเลิก
100261051,破械神双 罗寂刹,str2,ทำลาย
100261052,破械转生,name,破械转生
100261052,破械转生,desc,"这个卡名的卡在1回合只能发动1张。
①：作为这张卡的发动时的效果处理，可以从卡组把1张「破械转生」以外的「破械」魔法卡或「双王之械」加入手卡。
②：1回合1次，以「破械转生」以外的自己墓地最多3张「破械」卡为对象才能发动。那些卡回到卡组。那之后，可以把最多有回去数量的自己场上的其他卡破坏。"
100261052,破械转生,str1,เพิ่มเข้ามือ?
100261052,破械转生,str2,เอฟเฟกต์กู้คืน
100261052,破械转生,str3,ทำลายการ์ดใบนี้?
100261053,破械习合,name,破械习合
