id,name,type,atk,def
100200290,命運的盤上,4,0,0
100200292,純血精靈,33,1800,1500
100200293,強襲獅子,33,2600,2500
100200294,力量連接,2,0,0
100260001,小丑戲幫 哈托,16777249,1900,800
100261001,滑稽的黑暗兔寶寶,33,1100,1500
100261002,漫畫貓,33,0,0
100261003,邪惡箱,33,2300,2000
100261004,暗眼幻像師 無面,33,0,0
100261005,青眼卡通究極龍,4194401,4500,3800
100261006,完美卡通世界,524290,0,0
100261007,心靈透視眼,131076,0,0
100261023,魔女工坊 陶俑魔像,33,0,2000
100261024,魔女工坊 書籍女巫瑪爾卡,33,2500,0
100261025,魔女工坊大師 大魔女桑德里永,97,3800,2800
100261026,魔女工坊 學徒組,97,1800,2100
100261027,魔女工坊的慶典,65538,0,0
100261028,魔女工坊的瓦爾普吉斯夜行,524290,0,0
100261029,魔女工坊的消散,1048580,0,0
100261047,破械式鬼 奢羅,33,1500,2000
100261048,破械式鬼 修摩,33,1500,2000
100261049,破械冥官 迦牟羅,33,2000,2500
100261050,破械焰魔天 閻魔,67108897,3000,135
100261051,破械神雙 羅寂剎,67108897,2100,42
100261052,破械轉生,131074,0,0
100261053,破械習合,4,0,0
100263001,黑暗恐獸,33,2600,1800
100263002,大秘儀之力XII-倒吊人,33,2200,2200
100263003,光幻獸 坎德拉德,33,0,0
100263004,電漿戰士 艾伊托姆,33554465,3000,2500
100263005,白夜騎士團的領主,33,2000,2000
100263006,不死的死亡領主,33,1300,2000
100263007,E.HERO 黏土守衛,97,0,2800
100263008,人偶鐵鎚,2,0,0
100263009,速攻召喚,65538,0,0
100263010,D-爆發,2,0,0
100264002,惡魔的根源,33,2500,1200
100264003,魔降雷,65538,0,0
100265002,魔女工坊 種植女巫希德,33,1300,1500
101306001,疾風的豹戰士,33,2000,1600
101306002,飛龍龍騎士,33,1700,1500
101306003,人造人-念力能量震懾者,33,2400,1500
101306004,大海的傳說-漁夫,33,1850,1600
101306021,D-HERO 死亡教條小子,33554465,3400,2400
101306022,D-HERO 魔鬼統御小子,33,600,800
101306023,D-HERO 無懼從者,33,400,700
101306036,真紅眼超越黑龍,97,3400,3000
101306037,D-HERO 無懼小子,97,-2,2800
101306052,時間的黑魔術師,65538,0,0
101306053,天使與魔鬼的骰子,65538,0,0
101306054,沉睡之羊 替罪山羊,65538,0,0
101306062,幽獄的時鐘都市-黑暗城市,524290,0,0
101306070,愚蠢的盜墓者,4,0,0
101306071,大逆轉BOX,131076,0,0
101306154,替罪羊衍生物,16401,0,0
101306254,替罪羊衍生物,16401,0,0
101306354,替罪羊衍生物,16401,0,0
101306454,替罪羊衍生物,16401,0,0
