id,name,field,value
100268001,業火的魔神 艾克佐迪亞,name,業火的魔神 艾克佐迪亞
100268001,業火的魔神 艾克佐迪亞,desc,"①：我方回合抽到此卡時，向對手展示此卡可以發動。此卡特殊召喚。
②：此卡在我方回合特殊召喚的場合可以發動。這個回合，雙方不能發動「業火的魔神 艾克佐迪亞」以外的卡的效果，我方不能將怪獸召喚、特殊召喚。
③：此卡進行戰鬥的傷害步驟開始時可以發動。對手場上的怪獸全部破壞，給予對手那些原攻擊力合計數值的傷害。"
100268001,業火的魔神 艾克佐迪亞,str1,特殊召喚
100268001,業火的魔神 艾克佐迪亞,str2,封鎖效果
100268001,業火的魔神 艾克佐迪亞,str3,破壞效果
100268002,完全羽化-究極完全態 大飛蛾,name,完全羽化-究極完全態 大飛蛾
100268002,完全羽化-究極完全態 大飛蛾,desc,"此卡不能通常召喚。「完全羽化-究極完全態 大飛蛾」1回合1次，只能在我方墓地的昆蟲族怪獸是6隻以上的場合特殊召喚。
①：此卡特殊召喚的場合可以發動。對手場上的卡全部回到手牌。那之後，我方墓地有通常怪獸存在的場合，可以讓此卡的攻擊力上升我方墓地的昆蟲族怪獸數量×300。
②：每次對手將怪獸召喚、特殊召喚發動。對手場上的全部怪獸的攻擊力下降自身的等級×100。"
100268002,完全羽化-究極完全態 大飛蛾,str1,回到手牌
100268002,完全羽化-究極完全態 大飛蛾,str2,降低攻擊力
100268002,完全羽化-究極完全態 大飛蛾,str3,是否上升攻擊力？
100268003,神鷹女郎－華麗的分身－,name,神鷹女郎－華麗的分身－
100268003,神鷹女郎－華麗的分身－,desc,"這個卡名的②③效果1回合各能使用1次。
①：只要此卡在場上、墓地存在，卡名當作「神鷹女郎」。
②：此卡在手牌存在，我方場上有風、地屬性怪獸其中任何種類存在的場合可以發動。此卡特殊召喚。
③：此卡特殊召喚的場合可以發動。從我方的手牌、牌組、墓地將最多2隻等級5的「神鷹」怪獸特殊召喚。此效果的發動後，直到回合結束時我方除了風、地屬性怪獸以外不能特殊召喚。"
100268003,神鷹女郎－華麗的分身－,str2,此卡特殊召喚
100268003,神鷹女郎－華麗的分身－,str3,特殊召喚
100268004,超越神明的僕人-青眼究極龍,name,超越神明的僕人-青眼究極龍
100268004,超越神明的僕人-青眼究極龍,desc,"「青眼白龍」+「青眼白龍」+「青眼白龍」
這個卡名的③效果1回合可以使用最多3次。
①：此卡只要在怪獸區域存在，不會被效果破壞，在對手回合期間不受對手發動的效果影響。
②：此卡在1次戰鬥階段中可以攻擊3次。
③：我方、對手的戰鬥階段，以對手場上1隻這個回合特殊召喚的怪獸或1張裡側表示卡為對象可以發動（同一連鎖上最多1次）。那張卡破壞。"
100268004,超越神明的僕人-青眼究極龍,str2,效果3
100268005,機械龍-左輪槍龍,name,機械龍-左輪槍龍
100268005,機械龍-左輪槍龍,desc,"這個卡名的②③效果1回合各能使用1次。
①：我方場上沒有怪獸存在的場合，此卡可以不用解放來召喚。
②：我方主要階段可以發動。從牌組將「機械龍-左輪槍龍」以外的1隻機械族、闇屬性怪獸加入手牌。
③：此卡從場上送去墓地的我方、對手回合的戰鬥階段可以發動。此卡特殊召喚，投擲3次硬幣。那之後，可以將最多到正面數量的場上的怪獸破壞。"
100268005,機械龍-左輪槍龍,str1,不解放的召喚
100268005,機械龍-左輪槍龍,str2,效果2
100268005,機械龍-左輪槍龍,str3,效果3
100268005,機械龍-左輪槍龍,str4,是否將怪獸破壞？
100268006,幻想的邪眼-納祭,name,幻想的邪眼-納祭
100268006,幻想的邪眼-納祭,desc,"藉由「幻想的邪眼-納祭」降臨
這個卡名的①③效果1回合各能使用1次。
①：此卡在手牌存在的場合，將我方場上2隻怪獸解放可以發動。此卡當作儀式召喚特殊召喚。
②：此卡的戰鬥產生給我方的戰鬥傷害由對手代為承受。
③：我方、對手的主要階段，以對手場上1隻效果怪獸為對象可以發動。那隻怪獸的效果無效，當作攻擊力上升2000的裝備魔法卡給此卡裝備。"
100268006,幻想的邪眼-納祭,str1,效果1
100268006,幻想的邪眼-納祭,str2,效果3
100268007,死亡世界的支配者-黑暗戀屍狂,name,死亡世界的支配者-黑暗戀屍狂
100268007,死亡世界的支配者-黑暗戀屍狂,desc,"此卡不能通常召喚。只能用卡的效果特殊召喚。這個卡名的①②效果1回合各能使用1次。
①：我方墓地有3隻以上惡魔族、不死族怪獸存在的場合可以發動。此卡從手牌特殊召喚。
②：場上的此卡被破壞的場合可以發動。此卡加入手牌，直到結束階段得到對手場上1隻怪獸的控制權。那之後，可以給予對手此效果得到控制權的怪獸的攻擊力一半數值的傷害。"
100268007,死亡世界的支配者-黑暗戀屍狂,str1,特殊召喚
100268007,死亡世界的支配者-黑暗戀屍狂,str2,回收
100268007,死亡世界的支配者-黑暗戀屍狂,str3,是否給予傷害？
100268008,閃電的戰士-雷光斷罪者 吉爾弗德,name,閃電的戰士-雷光斷罪者 吉爾弗德
100268008,閃電的戰士-雷光斷罪者 吉爾弗德,desc,"這個卡名的③效果1回合只能使用1次。
①：此卡可以將我方場上3隻怪獸解放，從手牌特殊召喚。將原持有者是對手的怪獸解放的場合，在這次特殊召喚成功時，對手不能發動卡的效果。
②：此卡的①方法特殊召喚的場合發動。對手必須將自身場上的怪獸全部送去墓地。
③：此卡被送去墓地的場合可以發動。這個回合的結束階段，從牌組將1隻戰士族怪獸加入手牌。"
100268008,閃電的戰士-雷光斷罪者 吉爾弗德,str2,效果2
100268008,閃電的戰士-雷光斷罪者 吉爾弗德,str3,效果3
100268010,沉默的鬥者-沉默魔術師,name,沉默的鬥者-沉默魔術師
100268010,沉默的鬥者-沉默魔術師,desc,"此卡不能通常召喚。「沉默的鬥者-沉默魔術師」1回合1次，只能將我方場上1隻等級7以下的魔法使族、戰士族怪獸解放來特殊召喚。
①：此卡1回合只有1次不會被戰鬥、效果破壞。
②：1回合最多2次，每次對手抽牌可以發動。我方抽1張卡。對手用自身的卡的效果抽牌的場合，改成我方依照那個數量抽牌。
③：只要我方的手牌在6張以上，對手發動的魔法卡的效果無效化。"
100268010,沉默的鬥者-沉默魔術師,str1,抽卡
100268010,沉默的鬥者-沉默魔術師,str2,選擇抽卡張數
100268011,懲罰遊戲「GREED－欲望的幻像－」,name,懲罰遊戲「GREED－欲望的幻像－」
100268011,懲罰遊戲「GREED－欲望的幻像－」,desc,"這個卡名的卡在1回合只能發動1張。
①：對手已在抽牌階段以外從牌組將卡加入手牌的回合可以發動。給予對手相當於對手的手牌數量×400傷害。對手的手牌、場上、墓地的卡合計在20張以上的場合，隨後可以將對手的手牌全部除外。"
100268011,懲罰遊戲「GREED－欲望的幻像－」,str1,效果1
100268011,懲罰遊戲「GREED－欲望的幻像－」,str2,是否除外？
100268012,屍魔俠,name,屍魔俠
100268012,屍魔俠,desc,"①：此卡的攻擊宣言時發動。我方失去500生命值，此卡的攻擊力上升500。
②：怪獸被戰鬥破壞時可以發動。墓地的此卡當作裝備魔法卡給破壞那隻怪獸的怪獸裝備。那之後，可以將對手場上的攻擊力最高的1隻怪獸破壞。
③：裝備怪獸的卡名當作「屍魔俠」，效果無效化。
④：裝備怪獸的攻擊宣言時發動。那個控制者失去500生命值，裝備怪獸的攻擊力上升500。"
100268012,屍魔俠,str1,效果1
100268012,屍魔俠,str2,效果2
100268012,屍魔俠,str3,效果3
100268012,屍魔俠,str4,是否將怪獸破壞？
100268013,魔之龍牌-土龍,name,魔之龍牌-土龍
100268013,魔之龍牌-土龍,desc,"此卡不能通常召喚。向對手展示包含此卡的手牌3隻地屬性怪獸可以特殊召喚。這個卡名的①②效果1回合各能使用1次。
①：向對手展示手牌的此卡可以發動。從牌組將1張「龍牌」卡片加入手牌。那之後，選1張我方的手牌捨棄。
②：對手發動場上的怪獸的效果時可以發動。那個效果無效。場上有水屬性怪獸存在的場合，隨後在這個回合中，此卡不會被戰鬥、效果破壞。"
100268013,魔之龍牌-土龍,str2,效果1
100268013,魔之龍牌-土龍,str3,效果2
100268014,魔之龍牌-金龍,name,魔之龍牌-金龍
100268014,魔之龍牌-金龍,desc,"此卡不能通常召喚。向對手展示包含此卡的手牌3隻光屬性怪獸可以特殊召喚。這個卡名的①②效果1回合各能使用1次。
①：向對手展示手牌的此卡可以發動。從牌組將1張「龍牌」卡片加入手牌。那之後，選1張我方的手牌捨棄。
②：我方、對手的主要階段可以發動。對手場上1隻怪獸破壞，此卡送去墓地。那之後，場上有地屬性怪獸存在的場合，我方可以抽1張卡。"
100268014,魔之龍牌-金龍,str2,效果1
100268014,魔之龍牌-金龍,str3,效果2
100268014,魔之龍牌-金龍,str4,是否抽1張卡？
100268015,超級大成功,name,超級大成功
100268015,超級大成功,desc,"這個卡名的卡在1回合只能發動1張。
①：作為此卡的發動時的效果處理，可以從牌組將1張持有擲骰子效果的卡加入手牌。
②：卡的效果讓我方或對手擲骰子，出現1的場合，那個玩家可以從以下效果選擇1個發動（同一連鎖上雙方最多1次）。
●對手場上最多3隻怪獸破壞。
●對手場上1隻怪獸破壞，對手場上1隻怪獸的效果無效。
●從我方墓地將1隻怪獸特殊召喚。"
100268015,超級大成功,str1,效果1
100268015,超級大成功,str2,效果2
100268015,超級大成功,str3,是否加入手牌？
100268015,超級大成功,str4,●怪獸破壞
100268015,超級大成功,str5,●怪獸破壞並無效
100268015,超級大成功,str6,●從墓地特殊召喚
100268016,環境適應力,name,環境適應力
100268016,環境適應力,desc,"①：怪獸召喚、特殊召喚的場合，如果和那隻怪獸相同種族的其他怪獸在場上存在則發動。那些召喚、特殊召喚的怪獸的攻擊力、守備力上升1000。
②：此卡被破壞的場合發動。場上的全部表側表示怪獸的效果無效化，那些攻擊力、守備力變成原本數值。
③：我方、對手的準備階段，此卡在墓地存在，雙方的場地區域沒有卡存在的場合可以發動。此卡在我方場上表側表示放置。"
100268016,環境適應力,str1,攻擊力上升
100268016,環境適應力,str2,無效
100268016,環境適應力,str3,放置
100268017,芬芳香水戰術,name,芬芳香水戰術
100268017,芬芳香水戰術,desc,"①：1回合1次，宣言1個卡名可以發動。我方牌組最上方的卡給雙方確認，如果是宣言的卡，可以依照那個種類適用以下效果。如果不是，此卡破壞。
●怪獸：那隻怪獸特殊召喚。
●魔法、陷阱：那張卡在我方場上覆蓋。
②：此卡被效果破壞的場合可以發動。從我方的牌組、墓地將1隻「神鷹」怪獸特殊召喚。"
100268017,芬芳香水戰術,str1,發動
100268017,芬芳香水戰術,str2,特殊召喚
100268017,芬芳香水戰術,str3,是否適用效果？
100268018,闇魔導的霸王,name,闇魔導的霸王
