id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200290,命運的盤上,"這個卡名的卡在1回合只能發動1張。此卡也能向對手展示手牌的1隻通常怪獸，在覆蓋的回合發動。
①：從我方的手牌、墓地將最多5隻通常怪獸攻擊表示特殊召喚。此卡的發動後，直到回合結束時我方不能從額外牌組將怪獸特殊召喚。",,,,,,,,,,,,,,,,
100200292,純血精靈,"這個卡名的①效果1回合只能使用1次。
①：我方主要階段可以發動。從牌組將1張裝備魔法卡送去墓地。那之後，此卡的攻擊力直到對手回合結束時上升500。
②：此卡戰鬥破壞對手怪獸時可以發動。除了「純血精靈」以外，從牌組選1隻等級4以下的魔法使族、光屬性怪獸加入手牌或特殊召喚。",效果1,效果2,,,,,,,,,,,,,,
100200293,強襲獅子,"此卡可以解放1隻獸戰士族怪獸以表側表示上級召喚。這個卡名的②效果1回合只能使用1次。
①：此卡和怪獸戰鬥給予對手的戰鬥傷害變成2倍。
②：此卡在墓地存在的狀態，我方場上有獸戰士族怪獸召喚、特殊召喚的場合可以發動。此卡加入手牌。那之後，可以表側表示進行此卡的上級召喚。此效果上級召喚的此卡攻擊力上升500，從場上離開的場合被除外。",解放1隻獸戰士族怪獸,效果2,是否上級召喚？,,,,,,,,,,,,,
100200294,力量連接,"這個卡名的①②效果1回合各能使用1次。
①：以我方場上任意數量的表側表示怪獸為對象可以發動（2隻以上為對象的場合，必須是相同種族）。對象怪獸的攻擊力直到回合結束時上升對象怪獸的數量×500。
②：我方發動過「武裝轉生」的回合可以發動。墓地的此卡加入手牌。",效果1,效果2,,,,,,,,,,,,,,
100260001,小丑戲幫 哈托,"【靈擺效果】
這個卡名的靈擺效果1回合只能使用1次。
①：我方主要階段可以發動。從牌組將靈擺怪獸以外的1張「小丑戲幫」卡片送去墓地，此卡特殊召喚。此效果的發動後，直到下個回合結束前我方不能發動從牌組、額外牌組特殊召喚的怪獸的效果。
【怪獸效果】
①：只要上級召喚的怪獸在我方場上存在，對手場上的怪獸的守備力下降1500。
②：此卡被解放的場合，可以從以下效果選擇1個發動（這個卡名的以下效果1回合各能選擇1次）。
●雙方的額外牌組（表側）、場上的靈擺怪獸全部回到牌組。
●從牌組、額外牌組將靈擺怪獸以外的1隻「小丑戲幫」怪獸無視召喚條件特殊召喚。",靈擺效果1,效果2,●回到牌組,●特殊召喚,,,,,,,,,,,,
100261001,滑稽的黑暗兔寶寶,"①：此卡召喚、特殊召喚時適用。這個回合，我方在通常召喚之外只有1次，在我方主要階段可以召喚1隻記載「卡通世界」的卡名的怪獸。
②：只要場上有「卡通世界」存在，此卡當作卡通怪獸。
③：1回合1次，我方主要階段可以發動。從牌組選1張「卡通」場地、永續魔法卡加入手牌或在我方場上表側表示放置。",,召喚（滑稽的黑暗兔寶寶）,效果2,效果3,,,,,,,,,,,,
100261002,漫畫貓,"這個卡名的②效果1回合只能使用1次。
①：只要場上有「卡通世界」存在，此卡當作卡通怪獸。
②：我方、對手的主要階段可以發動。我方場上1隻怪獸解放，從我方的手牌、牌組將1隻記載「卡通世界」的卡名的怪獸無視召喚條件特殊召喚。我方場上有「卡通世界」存在的場合，解放的怪獸也能從對手場上挑選。",,效果2,,,,,,,,,,,,,,
100261003,邪惡箱,"這個卡名的①效果1回合只能使用1次。
①：我方場上有「卡通世界」存在的場合可以發動。此卡從手牌特殊召喚。那之後，可以適用以下效果。
●從牌組選1張「卡通」陷阱卡加入手牌或在我方場上覆蓋。
②：只要場上有「卡通世界」存在，此卡當作卡通怪獸。
③：我方、對手回合1次，以我方或對手墓地的1張卡為對象可以發動。那張卡回到牌組最下方。",效果1,效果3,是否挑選1張陷阱卡？,,,,,,,,,,,,,
100261004,暗眼幻像師 無面,"①：可以將此卡從手牌捨棄，從以下效果選擇1個發動（這個卡名的以下效果1回合各能選擇1次）。
●從手牌、牌組將1張「心靈透視眼」在我方場上表側表示放置。
●除了此卡以外，從我方墓地將1隻記載「卡通世界」的卡名的怪獸加入手牌。那之後，可以將那隻怪獸從手牌無視召喚條件特殊召喚。
②：此卡和怪獸進行戰鬥的場合，那2隻不會被那次戰鬥破壞。",效果1,●表側表示放置,●從墓地加入手牌,是否特殊召喚？,,,,,,,,,,,,
100261005,青眼卡通究極龍,"「青眼卡通龍」+卡通怪獸×2
只能讓我方的手牌、場上、墓地的上述卡片回到牌組、額外牌組來特殊召喚。
①：我方的卡通怪獸可以直接攻擊。
②：1回合1次，我方主要階段可以發動。從我方墓地將1張「卡通」卡片或記載那個卡名的卡加入手牌。
③：我方的卡通怪獸被攻擊的傷害計算時可以發動。那隻怪獸直到傷害步驟結束時除外。",,效果2,效果3,,,,,,,,,,,,,
100261006,完美卡通世界,"這個卡名的②效果1回合可以使用最多3次。
①：此卡只要在場地區域存在，卡名當作「卡通世界」。
②：1回合1次，我方主要階段可以發動。從牌組將1張「卡通」卡片或記載那個卡名的卡加入手牌。
③：其他卡發動的效果適用之際，可以將我方場上1隻卡通怪獸直到那個效果處理後除外（這個回合，這個卡名的這個效果不能將原卡名相同的怪獸除外）。",,效果2,,是否將1隻怪獸直到效果處理後除外？,,,,,,,,,,,,
100261007,心靈透視眼,"這個卡名的②效果1回合只能使用1次。
①：只要我方的場上或墓地有「卡通」卡片存在，對手將手牌全部持續公開，我方可以隨時確認對手場上的裡側表示卡。
②：我方的場上、墓地有卡通怪獸以及「卡通」魔法卡存在的場合，宣言1個在同一連鎖上沒有發動效果的卡名可以發動。此卡表側表示存在期間，直到回合結束時原卡名和宣言的卡相同的卡發動的效果無效化。",,效果2,,,,,,,,,,,,,,
100261023,魔女工坊 陶俑魔像,"這個卡名的①②效果1回合各能使用1次。
①：此卡在手牌存在的場合，以「魔女工坊 陶俑魔像」以外的我方墓地1張「魔女工坊」卡片為對象可以發動。那張卡加入手牌，此卡特殊召喚。這個回合，我方除了「魔女工坊」怪獸以外不能從額外牌組特殊召喚。
②：我方主要階段可以發動。我方的手牌、場上的怪獸作為融合素材，將1隻「魔女工坊」融合怪獸融合召喚。",效果1,效果2,,,,,,,,,,,,,,
100261024,魔女工坊 書籍女巫瑪爾卡,"這個卡名的①②效果1回合各能使用1次。
①：將手牌、場上的此卡解放可以發動。從牌組將1張「魔女工坊」場地、永續魔法卡加入手牌。
②：此卡在墓地存在的狀態，我方場上的表側表示的「魔女工坊」怪獸因對手的效果從場上離開的場合可以發動。此卡特殊召喚，將對手場上1隻怪獸解放。此效果特殊召喚的此卡從場上離開的場合被除外。",,,,,,,,,,,,,,,,
100261025,魔女工坊大師 大魔女桑德里永,"「魔女工坊大師 玻璃女巫薇兒」+魔法使族怪獸×2
這個卡名的①②效果1回合各能使用1次。
①：此卡融合召喚的場合可以發動。從手牌、牌組將最多3隻等級7以下的「魔女工坊」怪獸特殊召喚（相同屬性最多1隻）。這個回合，我方除了融合怪獸以外不能從額外牌組特殊召喚。
②：此卡在墓地存在的場合，我方結束階段，向對手展示手牌的1張魔法卡可以發動。此卡守備表示特殊召喚。",效果1,效果2,,,,,,,,,,,,,,
100261026,魔女工坊 學徒組,"「魔女工坊」怪獸+魔法使族怪獸
這個卡名的①②效果1回合各能使用1次。
①：我方、對手的主要階段以及戰鬥階段，可以從以下效果選擇1個發動。
●從牌組將1張「魔女工坊」魔法卡加入手牌。
●向對手展示手牌的1張「魔女工坊」通常、速攻魔法卡可以發動。那張魔法卡發動時的效果適用。
②：我方結束階段可以發動。我方的除外狀態的1張「魔女工坊」卡片回到墓地。",,,,,,,,,,,,,,,,
100261027,魔女工坊的慶典,"這個卡名的①②效果1回合只有1次能使用其中1個。
①：可以從以下效果選擇1個發動。
●我方場上1隻「魔女工坊」怪獸和對手場上1張卡破壞。
●我方的墓地、除外狀態的魔法使族怪獸作為融合素材回到牌組，將1隻「魔女工坊」融合怪獸融合召喚。
②：我方結束階段，此卡在墓地存在，我方場上有「魔女工坊」怪獸存在的場合可以發動。此卡加入手牌。",效果1,效果2,●破壞效果,●融合召喚,,,,,,,,,,,,
100261028,魔女工坊的瓦爾普吉斯夜行,"這個卡名的①效果1回合只能使用1次。
①：我方主要階段可以發動。從牌組將1隻「魔女工坊」怪獸加入手牌。那之後，選1張我方的手牌捨棄。
②：我方回合，為了發動我方場上的「魔女工坊」怪獸的效果而將手牌捨棄的場合，可以從牌組將「魔女工坊的瓦爾普吉斯夜行」以外的1張「魔女工坊」魔法、陷阱卡送去墓地作為代替。

※魔女的聖夜行",效果1,,,,,,,,,,,,,,,
100261029,魔女工坊的消散,"這個卡名的①②效果1回合各能使用1次。
①：我方場上有等級5以上的「魔女工坊」怪獸存在，怪獸的效果、魔法、陷阱卡發動時可以發動。那個發動無效並破壞。
②：將不是在這個回合送去墓地的此卡從墓地除外可以發動。從牌組將1隻等級5以上的魔法使族怪獸加入手牌。那之後，選1張我方的手牌捨棄。",效果1,效果2,,,,,,,,,,,,,,
100261047,破械式鬼 奢羅,"這個卡名的①②效果1回合各能使用1次。
①：我方、對手的主要階段，將此卡從手牌捨棄可以發動。從手牌將1隻惡魔族怪獸特殊召喚。那之後，我方場上1張卡破壞。
②：此卡在墓地存在的狀態，場上的卡被戰鬥或「破械式鬼 奢羅」以外的卡的效果破壞的場合可以發動。此卡加入手牌或特殊召喚。此效果特殊召喚的此卡從場上離開的場合回到牌組最下方。",效果1,效果2,,,,,,,,,,,,,,
100261048,破械式鬼 修摩,"這個卡名的①②效果1回合各能使用1次。
①：此卡召喚的場合可以發動。除了「破械式鬼 修摩」以外，從牌組將1隻等級4以下的「破械」怪獸特殊召喚。那之後，我方場上1張卡破壞。這個回合，我方除了惡魔族怪獸以外不能特殊召喚。
②：場上的此卡被戰鬥或「破械式鬼 修摩」以外的卡的效果破壞的場合可以發動。從手牌、牌組將「破械式鬼 修摩」以外的1隻「破械」怪獸特殊召喚。",效果1,效果2,,,,,,,,,,,,,,
100261049,破械冥官 迦牟羅,"這個卡名的①②效果1回合各能使用1次。
①：以我方場上最多3張卡為對象可以發動。那些卡破壞，此卡從手牌特殊召喚。那之後，依照破壞的卡的原種類，以下效果各自可以適用。
●怪獸：我方抽1張卡。
●魔法：場上1隻怪獸的表示形式變更。
●陷阱：場上1張其他卡破壞。
②：場上的此卡被效果破壞的場合可以發動。場上的怪獸全部破壞。",效果1,效果2,是否抽1張卡？,是否改變表示形式？,是否破壞？,,,,,,,,,,,
100261050,破械焰魔天 閻魔,"包含「破械神」怪獸的怪獸2隻以上
這個卡名的①②效果1回合各能使用1次。
①：我方結束階段，以這個回合被破壞的我方墓地最多2隻惡魔族怪獸為對象可以發動。那些怪獸特殊召喚。只要此效果特殊召喚的怪獸在我方場上表側表示存在，我方除了惡魔族怪獸以外不能特殊召喚。
②：場上的此卡被戰鬥、效果破壞的場合，可以將我方或對手場上1張表側表示卡破壞作為代替。",效果1,,「破械焰魔天 閻魔」的效果特殊召喚,,,,,,,,,,,,,
